ORF,ranks,weighted_rank
YBR097W,304,0.370143169
YBR098W,191,0.41544686
YBR099C,142,0.339311142
YBR101C,595,0.432279338
YBR102C,236,0.358536503
YBR103W,558,0.312253113
YBR104W,215,0.225718742
YBR105C,143,0.388395388
YBR106W,355,0.27250067
YBR107C,178,0.519468907
YBR108W,103,0.435746426
YBR109C,1133,0.358086242
YBR110W,256,0.330826921
YBR111C,424,0.29455871
YBR111W-A,174,0.416945681
YBR112C,856,0.33251008
YBR113W,15,0.770904238
YBR114W,495,0.340601207
YBR115C,606,0.321853206
YBR116C,159,0.353227441
YBR117C,758,0.341825995
YBR118W,779,0.411475661
YBR119W,557,0.325673968
YBR120C,186,0.340243469
YBR121C,665,0.314981147
YBR121C-A,1,0.924924925
YBR122C,161,0.549642811
YBR123C,224,0.365463678
YBR124W,23,0.295599948
YBR125C,300,0.261675008
YBR126C,461,0.419425934
YBR126W-A,73,0.333717279
YBR126W-B,3,0.595595596
YBR127C,574,0.316631963
YBR128C,118,0.461902581
YBR129C,52,0.31040656
YBR130C,115,0.377490534
YBR131C-A,35,0.351208351
YBR131W,152,0.450463622
YBR132C,153,0.27184701
YBR133C,606,0.324737279
YBR134W,42,0.299704466
YBR135W,387,0.47253455
YBR136W,955,0.409569779
YBR137W,65,0.417309617
YBR138C,59,0.462326734
YBR139W,357,0.31759771
YBR140C,431,0.304678228
YBR141C,262,0.374863413
YBR141W-A,1,0.970970971
YBR142W,826,0.425317569
YBR143C,803,0.495766003
YBR144C,36,0.530836392
YBR145W,175,0.393324753
YBR146W,642,0.444676764
YBR147W,169,0.286979287
YBR148W,67,0.4308637
YBR149W,301,0.305095793
YBR150C,64,0.356121747
YBR151W,91,0.408452408
YBR152W,112,0.621675247
YBR153W,441,0.255075938
YBR154C,833,0.439819171
YBR155W,761,0.35257202
YBR156C,175,0.396842557
YBR157C,117,0.373792596
YBR158W,343,0.319366013
YBR159W,583,0.290456838
YBR160W,1401,0.459453029
YBR161W,180,0.325258592
YBR162C,185,0.319892866
YBR162W-A,61,0.352532861
YBR163W,51,0.400105988
YBR164C,617,0.307826465
YBR165W,16,0.393018018
YBR166C,396,0.333502695
YBR167C,105,0.499022832
YBR168W,91,0.366212366
YBR169C,876,0.317304748
YBR170C,352,0.434545341
YBR171W,248,0.325381833
YBR172C,292,0.305051627
YBR173C,293,0.367811498
YBR174C,1,0.945945946
YBR175W,462,0.312242979
YBR176W,381,0.26686529
YBR177C,182,0.305910306
YBR178W,2,0.538038038
YBR179C,533,0.311236189
YBR180W,135,0.375471768
YBR181C,754,0.588554071
YBR182C,329,0.308950288
YBR182C-A,24,0.372247247
YBR183W,215,0.324408129
YBR184W,97,0.329122937
YBR185C,197,0.344938847
YBR186W,418,0.363741732
YBR187W,165,0.297800831
YBR188C,99,0.527234305
YBR189W,890,0.517818943
YBR190W,6,0.518018018
YBR191W,575,0.584250337
YBR191W-A,57,0.407705952
YBR192W,267,0.35183873
YBR193C,214,0.420368967
YBR194W,129,0.296986909
YBR195C,445,0.323476285
YBR196C,1127,0.350250872
YBR196C-A,50,0.257877878
YBR196C-B,2,0.205705706
YBR197C,49,0.509550367
YBR198C,613,0.338269754
YBR199W,116,0.325955266
YBR200W,370,0.396804913
YBR200W-A,32,0.354166667
YBR201C-A,2,0.377377377
YBR201W,317,0.378927824
YBR202W,549,0.44202308
YBR203W,99,0.405769406
YBR204C,199,0.307845534
YBR205W,125,0.328528529
YBR206W,1,0.934934935
YBR207W,230,0.319349785
YBR208C,940,0.301425894
YBR209W,33,0.375982043
YBR210W,137,0.327948386
YBR211C,185,0.468966264
YBR212W,592,0.254330344
YBR213W,253,0.28590646
YBR214W,690,0.284429357
YBR215W,102,0.336836837
YBR216C,72,0.318804916
YBR217W,227,0.412954805
YBR218C,431,0.372418823
YBR219C,169,0.322055784
YBR220C,182,0.306729807
YBR221C,636,0.379983757
YBR221W-A,49,0.248432106
YBR222C,419,0.271775355
YBR223C,217,0.394477427
YBR223W-A,1,0.921921922
YBR224W,1,0.921921922
YBR225W,17,0.374963198
YBR226C,1,0.955955956
YBR227C,631,0.312970657
YBR228W,163,0.450745224
YBR229C,408,0.382850988
YBR230C,328,0.353365561
YBR230W-A,92,0.367661139
YBR231C,251,0.341094082
YBR233W,359,0.397121355
YBR233W-A,104,0.658090783
YBR234C,205,0.357464782
YBR235W,90,0.333589145
YBR236C,177,0.430656645
YBR237W,548,0.31570987
YBR238C,144,0.272564231
YBR239C,58,0.308273791
YBR240C,127,0.33788907
YBR241C,264,0.245662329
YBR242W,123,0.232134574
YBR243C,510,0.286557145
YBR244W,477,0.296858704
YBR245C,873,0.289906172
YBR246W,85,0.375752223
YBR247C,713,0.542250525
YBR248C,492,0.305862773
YBR249C,390,0.299194066
YBR250W,62,0.377393523
YBR251W,820,0.483384604
YBR252W,853,0.301895096
YBR253W,159,0.526369136
YBR254C,189,0.362547733
YBR255C-A,73,0.408380984
YBR255W,87,0.317812065
YBR256C,389,0.26767899
YBR257W,239,0.388983125
YBR258C,60,0.463813814
YBR259W,8,0.682557558
YBR260C,192,0.345517392
YBR261C,212,0.361621055
YBR262C,124,0.416440634
