ORF,TF
YBR191W,40.0
YBR191W-A,2.0
YBR192W,15.0
YBR193C,17.0
YBR194W,25.0
YBR195C,17.0
YBR196C,53.0
YBR196C-A,11.0
YBR196C-B,6.0
YBR197C,27.0
YBR198C,9.0
YBR199W,19.0
YBR200W,24.0
YBR200W-A,3.0
YBR201C-A,8.0
YBR201W,27.0
YBR202W,31.0
YBR203W,37.0
YBR204C,23.0
YBR205W,29.0
YBR206W,16.0
YBR207W,32.0
YBR208C,35.0
YBR209W,23.0
YBR210W,34.0
YBR211C,18.0
YBR212W,25.0
YBR213W,24.0
YBR214W,54.0
YBR215W,27.0
YBR216C,21.0
YBR217W,24.0
YBR218C,26.0
YBR219C,37.0
YBR220C,30.0
YBR221C,22.0
YBR221W-A,1.0
YBR222C,34.0
YBR223C,20.0
YBR223W-A,
YBR224W,11.0
YBR225W,19.0
YBR226C,12.0
YBR227C,17.0
YBR228W,16.0
YBR229C,21.0
YBR230C,57.0
YBR230W-A,12.0
YBR231C,23.0
YBR232C,17.0
YBR233W,19.0
YBR233W-A,5.0
YBR234C,17.0
YBR235W,19.0
YBR236C,15.0
YBR237W,17.0
YBR238C,38.0
YBR239C,26.0
YBR240C,33.0
YBR241C,40.0
YBR242W,20.0
YBR243C,33.0
YBR244W,99.0
YBR245C,19.0
YBR246W,16.0
YBR247C,40.0
YBR248C,31.0
YBR249C,36.0
YBR250W,33.0
YBR251W,28.0
YBR252W,32.0
YBR253W,28.0
YBR254C,23.0
YBR255C-A,12.0
YBR255W,26.0
YBR256C,39.0
YBR257W,22.0
YBR258C,22.0
YBR259W,14.0
YBR260C,17.0
YBR261C,13.0
YBR262C,40.0
YBR263W,14.0
YBR264C,46.0
YBR265W,68.0
YBR266C,20.0
YBR267W,26.0
YBR268W,31.0
YBR269C,20.0
YBR270C,16.0
YBR271W,24.0
YBR272C,17.0
YBR273C,24.0
YBR274W,13.0
YBR275C,27.0
YBR276C,16.0
YBR277C,16.0
YBR278W,21.0
YBR279W,21.0
YBR280C,33.0
YBR281C,17.0
YBR282W,34.0
YBR283C,46.0
YBR284W,29.0
YBR285W,41.0
YBR286W,40.0
YBR287W,43.0
YBR288C,33.0
YBR289W,24.0
YBR290W,28.0
YBR291C,35.0
YBR292C,13.0
YBR293W,33.0
YBR294W,54.0
YBR295W,27.0
YBR296C,83.0
YBR296C-A,7.0
YBR297W,38.0
YBR298C,33.0
YBR298C-A,6.0
YBR299W,41.0
YBR300C,8.0
YBR301W,25.0
YBR302C,35.0
YCL001W,16.0
YCL001W-A,18.0
YCL001W-B,4.0
YCL002C,23.0
YCL004W,38.0
YCL005W,21.0
YCL005W-A,7.0
YCL007C,27.0
YCL008C,26.0
YCL009C,41.0
YCL010C,20.0
YCL011C,19.0
YCL012C,7.0
YCL014W,20.0
YCL016C,20.0
YCL017C,27.0
YCL018W,57.0
YCL019W,12.0
YCL020W,25.0
YCL021W-A,17.0
YCL022C,
YCL023C,13.0
YCL024W,38.0
YCL025C,70.0
YCL026C-A,36.0
YCL026C-B,15.0
YCL027W,77.0
YCL028W,21.0
YCL029C,30.0
YCL030C,46.0
YCL031C,46.0
YCL032W,18.0
YCL033C,21.0
YCL034W,18.0
YCL035C,40.0
YCL036W,26.0
YCL037C,34.0
YCL038C,41.0
YCL039W,28.0
YCL040W,67.0
YCL041C,27.0
YCL042W,56.0
YCL043C,29.0
YCL044C,28.0
YCL045C,17.0
YCL046W,15.0
YCL047C,20.0
YCL048W,33.0
YCL048W-A,7.0
YCL049C,37.0
YCL050C,43.0
YCL051W,23.0
YCL052C,18.0
YCL054W,47.0
YCL054W-A,
YCL055W,41.0
YCL056C,28.0
YCL057C-A,11.0
YCL057W,27.0
YCL058C,34.0
YCL058W-A,4.0
YCL059C,35.0
YCL061C,24.0
YCL063W,34.0
YCL064C,58.0
YCL065W,50.0
YCL066W,47.0
YCL067C,37.0
YCL068C,18.0
YCL069W,28.0
YCL073C,18.0
YCL074W,26.0
YCL075W,19.0
YCL076W,10.0
YCR001W,14.0
YCR002C,20.0
YCR003W,32.0
YCR004C,27.0
YCR005C,70.0
YCR006C,30.0
YCR007C,36.0
YCR008W,22.0
YCR009C,37.0
YCR010C,60.0
YCR011C,32.0
YCR012W,66.0
YCR013C,53.0
YCR014C,25.0
YCR015C,19.0
YCR016W,26.0
YCR017C,23.0
YCR018C,38.0
YCR018C-A,63.0
YCR019W,45.0
YCR020C,25.0
YCR020C-A,21.0
YCR020W-B,20.0
YCR021C,75.0
YCR022C,15.0
YCR023C,25.0
YCR024C,26.0
YCR024C-A,54.0
YCR024C-B,12.0
YCR025C,23.0
YCR026C,16.0
YCR027C,23.0
YCR028C,30.0
YCR028C-A,30.0
YCR030C,20.0
YCR031C,44.0
YCR032W,28.0
YCR033W,22.0
YCR034W,43.0
YCR035C,24.0
YCR036W,19.0
YCR037C,25.0
YCR038C,17.0
YCR038W-A,5.0
YCR039C,37.0
YCR040W,51.0
YCR041W,32.0
YCR042C,20.0
YCR043C,26.0
YCR044C,18.0
YCR045C,28.0
YCR045W-A,
YCR046C,26.0
YCR047C,22.0
YCR047W-A,
YCR048W,43.0
YCR049C,31.0
YCR050C,46.0
YCR051W,19.0
YCR052W,15.0
YCR053W,34.0
YCR054C,18.0
YCR057C,36.0
YCR059C,33.0
YCR060W,26.0
