ORF,TF
YDR320C,23.0
YDR320C-A,6.0
YDR320W-B,
YDR321W,31.0
YDR322C-A,55.0
YDR322W,34.0
YDR323C,29.0
YDR324C,23.0
YDR325W,17.0
YDR326C,22.0
YDR327W,20.0
YDR328C,20.0
YDR329C,20.0
YDR330W,21.0
YDR331W,21.0
YDR332W,18.0
YDR333C,14.0
YDR334W,18.0
YDR335W,12.0
YDR336W,15.0
YDR337W,17.0
YDR338C,22.0
YDR339C,42.0
YDR340W,32.0
YDR341C,39.0
YDR342C,69.0
YDR343C,59.0
YDR344C,23.0
YDR345C,59.0
YDR346C,40.0
YDR347W,36.0
YDR348C,19.0
YDR349C,19.0
YDR350C,19.0
YDR351W,20.0
YDR352W,13.0
YDR353W,30.0
YDR354C-A,
YDR354W,39.0
YDR355C,12.0
YDR356W,21.0
YDR357C,29.0
YDR358W,33.0
YDR359C,13.0
YDR360W,17.0
YDR361C,18.0
YDR362C,16.0
YDR363W,13.0
YDR363W-A,34.0
YDR364C,14.0
YDR365C,30.0
YDR365W-A,19.0
YDR365W-B,33.0
YDR366C,36.0
YDR367W,17.0
YDR368W,25.0
YDR369C,22.0
YDR370C,43.0
YDR371C-A,
YDR371W,30.0
YDR372C,37.0
YDR373W,40.0
YDR374C,21.0
YDR374W-A,2.0
YDR375C,21.0
YDR376W,19.0
YDR377W,37.0
YDR378C,36.0
YDR379C-A,21.0
YDR379W,31.0
YDR380W,58.0
YDR381C-A,16.0
YDR381W,23.0
YDR382W,32.0
YDR383C,30.0
YDR384C,60.0
YDR385W,42.0
YDR386W,27.0
YDR387C,17.0
YDR388W,20.0
YDR389W,20.0
YDR390C,21.0
YDR391C,37.0
YDR392W,14.0
YDR393W,25.0
YDR394W,22.0
YDR395W,18.0
YDR396W,26.0
YDR397C,31.0
YDR398W,23.0
YDR399W,46.0
YDR400W,30.0
YDR401W,14.0
YDR402C,32.0
YDR403W,48.0
YDR404C,28.0
YDR405W,28.0
YDR406W,53.0
YDR406W-A,
YDR407C,12.0
YDR408C,22.0
YDR409W,21.0
YDR410C,28.0
YDR411C,25.0
YDR412W,33.0
YDR413C,12.0
YDR414C,17.0
YDR415C,14.0
YDR416W,20.0
YDR417C,30.0
YDR418W,35.0
YDR419W,18.0
YDR420W,24.0
YDR421W,25.0
YDR422C,17.0
YDR423C,26.0
YDR424C,22.0
YDR425W,24.0
YDR426C,13.0
YDR427W,21.0
YDR428C,16.0
YDR429C,27.0
YDR430C,15.0
YDR431W,12.0
YDR432W,39.0
YDR433W,19.0
YDR434W,25.0
YDR435C,21.0
YDR436W,19.0
YDR437W,19.0
YDR438W,25.0
YDR439W,15.0
YDR440W,14.0
YDR441C,45.0
YDR442W,33.0
YDR443C,18.0
YDR444W,22.0
YDR445C,13.0
YDR446W,28.0
YDR447C,42.0
YDR448W,29.0
YDR449C,31.0
YDR450W,42.0
YDR451C,53.0
YDR452W,36.0
YDR453C,51.0
YDR454C,35.0
YDR455C,21.0
YDR456W,18.0
YDR457W,30.0
YDR458C,24.0
YDR459C,17.0
YDR460W,24.0
YDR461C-A,4.0
YDR461W,79.0
YDR462W,26.0
YDR463W,20.0
YDR464C-A,
YDR464W,22.0
YDR465C,24.0
YDR466W,20.0
YDR467C,17.0
YDR468C,18.0
YDR469W,26.0
YDR470C,25.0
YDR471W,48.0
YDR472W,27.0
YDR473C,30.0
YDR475C,33.0
YDR476C,28.0
YDR477W,19.0
YDR478W,15.0
YDR479C,20.0
YDR480W,17.0
YDR481C,58.0
YDR482C,22.0
YDR483W,18.0
YDR484W,20.0
YDR485C,17.0
YDR486C,19.0
YDR487C,33.0
YDR488C,26.0
YDR489W,15.0
YDR490C,25.0
YDR491C,19.0
YDR492W,31.0
YDR493W,20.0
YDR494W,27.0
YDR495C,29.0
YDR496C,25.0
YDR497C,35.0
YDR498C,22.0
YDR499W,16.0
YDR500C,48.0
YDR501W,29.0
YDR502C,63.0
YDR503C,24.0
YDR504C,20.0
YDR505C,24.0
YDR506C,25.0
YDR507C,30.0
YDR508C,41.0
YDR509W,19.0
YDR510C-A,
YDR510W,47.0
YDR511W,24.0
YDR512C,19.0
YDR513W,37.0
YDR514C,23.0
YDR515W,19.0
YDR516C,43.0
YDR517W,27.0
YDR518W,31.0
YDR519W,24.0
YDR520C,21.0
YDR521W,11.0
YDR522C,32.0
YDR523C,34.0
YDR524C,25.0
YDR524C-A,
YDR524C-B,18.0
YDR524W-C,4.0
YDR525W,32.0
YDR525W-A,56.0
YDR526C,17.0
YDR527W,27.0
YDR528W,34.0
YDR529C,35.0
YDR530C,28.0
YDR531W,23.0
YDR532C,21.0
YDR533C,58.0
YDR534C,32.0
YDR535C,23.0
YDR536W,58.0
YDR537C,13.0
YDR538W,20.0
YDR539W,19.0
YDR540C,32.0
YDR541C,36.0
YDR542W,38.0
YDR543C,44.0
YDR544C,50.0
YDR545C-A,
YDR545W,47.0
YEL001C,26.0
YEL002C,17.0
YEL003W,22.0
YEL004W,20.0
YEL005C,26.0
YEL006W,22.0
YEL007W,45.0
YEL008C-A,
YEL008W,28.0
YEL009C,40.0
YEL009C-A,1.0
YEL010W,19.0
YEL011W,52.0
YEL012W,41.0
YEL013W,16.0
YEL014C,10.0
YEL015W,27.0
YEL016C,25.0
YEL017C-A,52.0
YEL017W,41.0
YEL018C-A,
YEL018W,15.0
YEL019C,21.0
YEL020C,19.0
YEL020C-B,
YEL020W-A,22.0
YEL021W,69.0
YEL022W,19.0
YEL023C,29.0
YEL024W,46.0
YEL025C,24.0
YEL026W,34.0
YEL027W,29.0
YEL028W,13.0
YEL029C,21.0
YEL030C-A,
YEL030W,21.0
YEL031W,20.0
YEL032C-A,
YEL032W,28.0
YEL033W,21.0
YEL034C-A,
YEL034W,44.0
YEL035C,28.0
YEL036C,40.0
YEL037C,57.0
YEL038W,34.0
YEL039C,50.0
YEL040W,65.0
YEL041W,43.0
YEL042W,27.0
YEL043W,22.0
YEL044W,50.0
YEL045C,36.0
YEL046C,64.0
YEL047C,31.0
YEL048C,22.0
YEL049W,25.0
YEL050C,34.0
YEL050W-A,
YEL051W,37.0
YEL052W,24.0
YEL053C,21.0
YEL053W-A,
YEL054C,37.0
YEL055C,25.0
YEL056W,24.0
YEL057C,38.0
YEL058W,35.0
YEL059C-A,28.0
YEL059W,22.0
YEL060C,73.0
YEL061C,24.0
YEL062W,28.0
YEL063C,25.0
YEL064C,22.0
YEL065W,66.0
YEL066W,24.0
YEL067C,17.0
YEL068C,15.0
YEL069C,44.0
YEL070W,47.0
YEL071W,56.0
YEL072W,31.0
YEL073C,42.0
YEL074W,25.0
YEL075C,27.0
YEL075W-A,5.0
YEL076C,25.0
YEL076C-A,16.0
YEL077C,18.0
YEL077W-A,
YER001W,70.0
YER002W,39.0
YER003C,32.0
YER004W,20.0
YER005W,21.0
YER006C-A,
YER006W,30.0
YER007C-A,31.0
YER007W,16.0
YER008C,18.0
YER009W,27.0
YER010C,28.0
YER011W,54.0
YER012W,32.0
YER013W,36.0
YER014C-A,5.0
YER014W,20.0
YER015W,23.0
YER016W,23.0
YER017C,23.0
YER018C,28.0
YER019C-A,41.0
YER019W,27.0
YER020W,29.0
YER021W,18.0
YER022W,18.0
YER023C-A,
YER023W,29.0
YER024W,33.0
YER025W,43.0
YER026C,50.0
YER027C,20.0
YER028C,51.0
YER029C,90.0
YER030W,25.0
YER031C,27.0
YER032W,27.0
YER033C,32.0
YER034W,27.0
YER035W,62.0
YER036C,35.0
YER037W,48.0
YER038C,40.0
YER038W-A,4.0
YER039C,30.0
YER039C-A,23.0
YER040W,23.0
YER041W,22.0
YER042W,36.0
YER043C,42.0
YER044C,68.0
YER044C-A,25.0
YER045C,50.0
YER046W,42.0
YER046W-A,
YER047C,25.0
YER048C,36.0
YER048W-A,31.0
YER049W,38.0
YER050C,34.0
YER051W,18.0
YER052C,45.0
YER053C,58.0
YER053C-A,29.0
YER054C,40.0
YER055C,40.0
YER056C,58.0
YER056C-A,37.0
YER057C,40.0
YER058W,36.0
YER059W,16.0
YER060W,41.0
YER060W-A,35.0
YER061C,26.0
YER062C,72.0
YER063W,37.0
YER064C,66.0
YER065C,45.0
YER066C-A,11.0
YER066W,22.0
YER067C-A,
YER067W,48.0
YER068C-A,
YER068W,24.0
YER069W,35.0
YER070W,55.0
YER071C,14.0
YER072W,54.0
YER073W,81.0
YER074W,29.0
YER074W-A,11.0
YER075C,31.0
YER076C,18.0
YER076W-A,
YER077C,21.0
YER078C,28.0
YER078W-A,5.0
YER079C-A,
YER079W,53.0
YER080W,15.0
YER081W,41.0
YER082C,15.0
YER083C,27.0
YER084W,13.0
YER084W-A,
YER085C,19.0
YER086W,32.0
YER087C-A,
YER087C-B,23.0
YER087W,19.0
YER088C,33.0
YER088C-A,
YER088W-B,
YER089C,25.0
YER090C-A,
YER090W,29.0
YER091C,60.0
YER091C-A,16.0
YER092W,31.0
YER093C,16.0
YER093C-A,17.0
YER094C,31.0
YER095W,36.0
YER096W,40.0
YER097W,15.0
YER098W,15.0
YER099C,23.0
YER100W,43.0
YER101C,28.0
YER102W,31.0
YER103W,58.0
YER104W,16.0
YER105C,17.0
YER106W,24.0
YER107C,19.0
YER107W-A,
YER109C,23.0
YER110C,25.0
YER111C,30.0
YER112W,29.0
YER113C,16.0
YER114C,14.0
YER115C,19.0
YER116C,27.0
YER117W,40.0
YER118C,25.0
YER119C,37.0
YER119C-A,18.0
YER120W,25.0
YER121W,24.0
YER122C,14.0
YER123W,31.0
YER124C,52.0
YER125W,29.0
YER126C,29.0
YER127W,25.0
YER128W,23.0
YER129W,16.0
YER130C,34.0
YER131W,67.0
YER132C,23.0
YER133W,35.0
YER133W-A,
YER134C,20.0
YER135C,19.0
YER136W,28.0
YER137C,33.0
YER137C-A,21.0
YER137W-A,
YER138C,36.0
YER138W-A,53.0
YER139C,21.0
YER140W,16.0
YER141W,29.0
YER142C,29.0
YER143W,21.0
YER144C,33.0
YER145C,62.0
YER145C-A,7.0
YER146W,53.0
YER147C,18.0
YER147C-A,
YER148W,23.0
YER148W-A,
YER149C,28.0
YER150W,83.0
YER151C,20.0
YER152C,49.0
YER152W-A,
YER153C,30.0
YER154W,66.0
YER155C,33.0
YER156C,34.0
YER157W,22.0
YER158C,54.0
YER158W-A,
YER159C,34.0
YER159C-A,21.0
YER160C,17.0
YER161C,16.0
YER162C,25.0
YER163C,23.0
YER164W,22.0
YER165C-A,
YER165W,22.0
YER166W,17.0
YER167W,17.0
YER168C,24.0
YER169W,24.0
YER170W,28.0
YER171W,18.0
YER172C,21.0
YER172C-A,
YER173W,16.0
YER174C,22.0
YER175C,43.0
YER175W-A,6.0
YER176W,22.0
YER177W,38.0
YER178W,38.0
YER179W,29.0
YER180C,23.0
YER180C-A,5.0
YER181C,14.0
YER182W,21.0
YER183C,17.0
YER184C,34.0
YER185W,34.0
YER186C,25.0
YER187W,22.0
YER188C-A,17.0
YER188W,30.0
YER189W,40.0
YER190C-A,
YER190C-B,3.0
YER190W,45.0
YFL001W,14.0
YFL002C,15.0
YFL002W-A,13.0
YFL002W-B,30.0
YFL003C,27.0
YFL004W,32.0
YFL005W,19.0
YFL007W,27.0
YFL008W,23.0
YFL009W,15.0
YFL010C,32.0
YFL010W-A,30.0
YFL011W,41.0
YFL012W,31.0
YFL012W-A,4.0
YFL013C,25.0
YFL013W-A,
YFL014W,94.0
YFL015C,17.0
YFL015W-A,
YFL016C,59.0
YFL017C,23.0
YFL017W-A,33.0
YFL018C,32.0
YFL019C,11.0
YFL020C,34.0
YFL021C-A,
YFL021W,52.0
YFL022C,49.0
YFL023W,49.0
YFL024C,29.0
YFL025C,21.0
YFL026W,73.0
YFL027C,28.0
YFL028C,22.0
YFL029C,24.0
YFL030W,52.0
YFL031C-A,
YFL031W,36.0
YFL032W,26.0
YFL033C,25.0
YFL034C-A,59.0
YFL034C-B,22.0
YFL034W,26.0
YFL036W,29.0
YFL037W,46.0
YFL038C,21.0
YFL039C,37.0
YFL040W,31.0
YFL041W,18.0
YFL041W-A,6.0
YFL042C,29.0
YFL044C,23.0
YFL045C,31.0
YFL046W,17.0
YFL047W,22.0
YFL048C,35.0
YFL049W,17.0
YFL050C,23.0
YFL051C,34.0
YFL052W,29.0
YFL053W,24.0
YFL054C,31.0
YFL055W,36.0
YFL056C,31.0
YFL058W,32.0
YFL059W,40.0
YFL060C,28.0
YFL061W,23.0
YFL062W,39.0
YFL063W,35.0
YFL064C,37.0
YFL065C,21.0
YFL066C,17.0
YFL067W,34.0
YFL068W,51.0
YFR001W,44.0
YFR002W,20.0
YFR003C,40.0
YFR004W,33.0
YFR005C,38.0
YFR006W,78.0
YFR007W,31.0
YFR008W,25.0
YFR009W,26.0
YFR009W-A,
YFR010W,20.0
YFR010W-A,
YFR011C,41.0
YFR012W,23.0
YFR012W-A,6.0
YFR013W,15.0
YFR014C,24.0
YFR015C,65.0
YFR016C,30.0
YFR017C,80.0
YFR018C,45.0
YFR019W,28.0
YFR020W,21.0
YFR021W,25.0
YFR022W,38.0
YFR023W,40.0
YFR024C-A,26.0
YFR025C,28.0
YFR026C,34.0
YFR027W,17.0
YFR028C,32.0
YFR029W,33.0
YFR030W,40.0
YFR031C,26.0
YFR031C-A,41.0
YFR032C,40.0
YFR032C-A,61.0
YFR032C-B,11.0
YFR033C,59.0
YFR034C,31.0
YFR034W-A,
YFR035C,36.0
YFR036W,29.0
YFR036W-A,
YFR037C,20.0
YFR038W,21.0
YFR039C,24.0
YFR040W,25.0
YFR041C,40.0
YFR042W,21.0
YFR043C,21.0
YFR044C,40.0
YFR045W,19.0
YFR046C,21.0
YFR047C,25.0
YFR048W,16.0
YFR049W,19.0
YFR050C,15.0
YFR051C,30.0
YFR052C-A,
YFR052W,24.0
YFR053C,64.0
YFR054C,20.0
YFR055W,45.0
YFR056C,23.0
YFR057W,26.0
YGL001C,60.0
YGL002W,19.0
YGL003C,23.0
YGL004C,27.0
YGL005C,17.0
YGL006W,28.0
YGL006W-A,23.0
YGL007C-A,30.0
YGL007W,27.0
YGL008C,55.0
YGL009C,79.0
YGL010W,24.0
YGL011C,19.0
YGL012W,52.0
YGL013C,30.0
YGL014C-A,
YGL014W,18.0
YGL015C,21.0
YGL016W,24.0
YGL017W,16.0
YGL018C,16.0
YGL019W,13.0
YGL020C,15.0
YGL021W,35.0
YGL022W,23.0
YGL023C,15.0
YGL024W,12.0
YGL025C,16.0
YGL026C,22.0
YGL027C,20.0
YGL028C,61.0
YGL029W,45.0
YGL030W,41.0
YGL031C,58.0
YGL032C,97.0
YGL033W,16.0
YGL034C,14.0
YGL035C,32.0
YGL036W,29.0
YGL037C,46.0
YGL038C,49.0
YGL039W,43.0
YGL040C,25.0
YGL041C,11.0
YGL041C-B,1.0
YGL041W-A,
YGL042C,11.0
YGL043W,24.0
YGL044C,14.0
YGL045W,37.0
YGL047W,29.0
YGL048C,18.0
YGL049C,16.0
YGL050W,21.0
YGL051W,19.0
YGL052W,23.0
YGL053W,47.0
YGL054C,26.0
YGL055W,64.0
YGL056C,49.0
YGL057C,17.0
YGL058W,17.0
YGL059W,23.0
YGL060W,14.0
YGL061C,20.0
YGL062W,64.0
YGL063C-A,
YGL063W,23.0
YGL064C,21.0
YGL065C,15.0
YGL066W,21.0
YGL067W,16.0
YGL068W,24.0
YGL069C,8.0
YGL070C,32.0
YGL071W,46.0
YGL072C,31.0
YGL073W,19.0
YGL074C,18.0
YGL075C,25.0
YGL076C,36.0
YGL077C,32.0
YGL078C,33.0
YGL079W,19.0
YGL080W,22.0
YGL081W,24.0
YGL082W,14.0
YGL083W,20.0
YGL084C,21.0
YGL085W,19.0
YGL086W,25.0
YGL087C,32.0
YGL088W,27.0
YGL089C,46.0
YGL090W,16.0
YGL091C,16.0
YGL092W,15.0
YGL093W,20.0
YGL094C,24.0
YGL095C,25.0
YGL096W,57.0
YGL097W,26.0
YGL098W,34.0
YGL099W,19.0
YGL100W,21.0
YGL101W,42.0
YGL102C,41.0
YGL103W,48.0
YGL104C,43.0
YGL105W,34.0
YGL106W,28.0
YGL107C,18.0
YGL108C,15.0
YGL109W,13.0
YGL110C,19.0
YGL111W,35.0
YGL112C,37.0
YGL113W,17.0
YGL114W,29.0
YGL115W,22.0
YGL116W,39.0
YGL117W,45.0
YGL118C,15.0
YGL119W,20.0
YGL120C,28.0
YGL121C,56.0
YGL122C,15.0
YGL123C-A,
YGL123W,41.0
YGL124C,23.0
YGL125W,38.0
YGL126W,35.0
YGL127C,28.0
YGL128C,24.0
YGL129C,17.0
YGL130W,19.0
YGL131C,15.0
YGL132W,12.0
YGL133W,28.0
YGL134W,32.0
YGL135W,42.0
YGL136C,30.0
YGL137W,23.0
YGL138C,21.0
YGL139W,18.0
YGL140C,13.0
YGL141W,20.0
YGL142C,16.0
YGL143C,28.0
YGL144C,21.0
YGL145W,28.0
YGL146C,33.0
YGL147C,35.0
YGL148W,36.0
YGL149W,13.0
YGL150C,19.0
YGL151W,15.0
YGL152C,14.0
YGL153W,26.0
YGL154C,21.0
YGL155W,8.0
YGL156W,48.0
YGL157W,56.0
YGL158W,48.0
YGL159W,21.0
YGL160W,25.0
YGL161C,21.0
YGL162W,47.0
YGL163C,30.0
YGL164C,14.0
YGL165C,14.0
YGL166W,35.0
YGL167C,26.0
YGL168W,24.0
YGL169W,20.0
YGL170C,19.0
YGL171W,33.0
YGL172W,15.0
YGL173C,22.0
YGL174W,13.0
YGL175C,18.0
YGL176C,15.0
YGL177W,19.0
YGL178W,27.0
YGL179C,33.0
YGL180W,45.0
YGL181W,25.0
YGL182C,19.0
YGL183C,23.0
YGL184C,45.0
YGL185C,20.0
YGL186C,23.0
YGL187C,45.0
YGL188C,40.0
YGL188C-A,9.0
YGL189C,46.0
YGL190C,24.0
YGL191W,43.0
YGL192W,29.0
YGL193C,31.0
YGL194C,35.0
YGL194C-A,1.0
YGL195W,21.0
YGL196W,25.0
YGL197W,20.0
YGL198W,24.0
YGL199C,28.0
YGL200C,22.0
YGL201C,16.0
YGL202W,32.0
YGL203C,20.0
YGL204C,18.0
YGL205W,43.0
YGL206C,24.0
YGL207W,20.0
YGL208W,31.0
YGL209W,38.0
YGL210W,17.0
YGL211W,19.0
YGL212W,21.0
YGL213C,16.0
YGL214W,16.0
YGL215W,22.0
YGL216W,15.0
YGL217C,19.0
YGL218W,17.0
YGL219C,15.0
YGL220W,19.0
YGL221C,15.0
YGL222C,31.0
YGL223C,22.0
YGL224C,32.0
YGL225W,57.0
YGL226C-A,27.0
YGL226W,29.0
YGL227W,25.0
YGL228W,25.0
YGL229C,37.0
YGL230C,32.0
YGL231C,31.0
YGL232W,26.0
YGL233W,17.0
YGL234W,41.0
YGL235W,15.0
YGL236C,26.0
YGL237C,28.0
YGL238W,20.0
YGL239C,11.0
YGL240W,26.0
YGL241W,18.0
YGL242C,26.0
YGL243W,17.0
YGL244W,26.0
YGL245W,31.0
YGL246C,12.0
YGL247W,18.0
YGL248W,28.0
YGL249W,20.0
YGL250W,34.0
YGL251C,19.0
YGL252C,17.0
YGL253W,54.0
YGL254W,25.0
YGL255W,86.0
YGL256W,44.0
YGL257C,18.0
YGL258W,33.0
YGL258W-A,16.0
YGL259W,36.0
YGL260W,13.0
YGL261C,34.0
YGL262W,21.0
YGL263W,41.0
YGR001C,22.0
YGR002C,18.0
YGR003W,20.0
YGR004W,23.0
YGR005C,32.0
YGR006W,19.0
YGR007W,18.0
YGR008C,56.0
YGR009C,27.0
YGR010W,23.0
YGR011W,24.0
YGR012W,53.0
YGR013W,21.0
YGR014W,60.0
YGR015C,21.0
YGR016W,20.0
YGR017W,12.0
YGR018C,18.0
YGR019W,52.0
YGR020C,36.0
YGR021W,27.0
YGR022C,14.0
YGR023W,26.0
YGR024C,42.0
YGR025W,18.0
YGR026W,32.0
YGR027C,40.0
YGR027W-A,20.0
YGR027W-B,14.0
YGR028W,30.0
YGR029W,20.0
YGR030C,35.0
YGR031C-A,11.0
YGR031W,20.0
YGR032W,50.0
YGR033C,52.0
YGR034W,43.0
YGR035C,46.0
YGR035W-A,8.0
YGR036C,25.0
YGR037C,48.0
YGR038C-A,24.0
YGR038C-B,21.0
YGR038W,30.0
YGR039W,20.0
YGR040W,28.0
YGR041W,46.0
YGR042W,16.0
YGR043C,59.0
YGR044C,45.0
YGR045C,37.0
YGR046W,25.0
YGR047C,23.0
YGR048W,20.0
YGR049W,40.0
YGR050C,41.0
YGR051C,23.0
YGR052W,61.0
YGR053C,25.0
YGR054W,22.0
YGR055W,51.0
YGR056W,23.0
YGR057C,16.0
YGR058W,16.0
YGR059W,31.0
YGR060W,53.0
YGR061C,29.0
YGR062C,21.0
YGR063C,31.0
YGR064W,41.0
YGR065C,41.0
YGR066C,45.0
YGR067C,47.0
YGR068C,17.0
YGR068W-A,
YGR069W,16.0
YGR070W,29.0
YGR071C,26.0
YGR072W,28.0
YGR073C,17.0
YGR074W,18.0
YGR075C,22.0
YGR076C,20.0
YGR077C,17.0
YGR078C,33.0
YGR079W,63.0
YGR080W,24.0
YGR081C,18.0
YGR082W,22.0
YGR083C,19.0
YGR084C,24.0
YGR085C,43.0
YGR086C,50.0
YGR087C,56.0
YGR088W,75.0
YGR089W,27.0
YGR090W,31.0
YGR091W,22.0
YGR092W,37.0
YGR093W,22.0
YGR094W,22.0
YGR095C,27.0
YGR096W,24.0
YGR097W,40.0
YGR098C,21.0
YGR099W,25.0
YGR100W,12.0
YGR101W,22.0
YGR102C,20.0
YGR103W,35.0
YGR104C,20.0
YGR105W,25.0
YGR106C,31.0
YGR107W,20.0
YGR108W,56.0
YGR109C,44.0
YGR109W-A,42.0
YGR109W-B,24.0
YGR110W,39.0
YGR111W,23.0
YGR112W,35.0
YGR113W,25.0
YGR114C,15.0
YGR115C,21.0
YGR116W,21.0
YGR117C,42.0
YGR118W,49.0
YGR119C,23.0
YGR120C,28.0
YGR121C,53.0
YGR121W-A,12.0
YGR122C-A,37.0
YGR122W,39.0
YGR123C,31.0
YGR124W,41.0
YGR125W,25.0
YGR126W,26.0
YGR127W,28.0
YGR128C,24.0
YGR129W,16.0
YGR130C,32.0
YGR131W,35.0
YGR132C,29.0
YGR133W,24.0
YGR134W,34.0
YGR135W,33.0
YGR136W,40.0
YGR137W,65.0
YGR138C,72.0
YGR139W,58.0
YGR140W,40.0
YGR141W,26.0
YGR142W,59.0
YGR143W,33.0
YGR144W,42.0
YGR145W,41.0
YGR146C,72.0
YGR146C-A,16.0
YGR147C,24.0
YGR148C,67.0
YGR149W,43.0
YGR150C,25.0
YGR151C,49.0
YGR152C,26.0
YGR153W,26.0
YGR154C,29.0
YGR155W,49.0
YGR156W,24.0
YGR157W,42.0
YGR158C,18.0
YGR159C,36.0
YGR160W,29.0
YGR161C,83.0
YGR161C-C,22.0
YGR161C-D,27.0
YGR161W-A,22.0
YGR161W-B,28.0
YGR161W-C,16.0
YGR162W,25.0
YGR163W,18.0
YGR164W,25.0
YGR165W,26.0
YGR166W,19.0
YGR167W,27.0
YGR168C,29.0
YGR169C,12.0
YGR169C-A,7.0
YGR170W,26.0
YGR171C,15.0
YGR172C,27.0
YGR173W,32.0
YGR174C,20.0
YGR174W-A,9.0
YGR175C,34.0
YGR176W,43.0
YGR177C,46.0
YGR178C,18.0
YGR179C,17.0
YGR180C,66.0
YGR181W,41.0
YGR182C,27.0
YGR183C,51.0
YGR184C,20.0
YGR185C,33.0
YGR186W,21.0
YGR187C,28.0
YGR188C,28.0
YGR189C,55.0
YGR190C,16.0
YGR191W,29.0
YGR192C,63.0
YGR193C,20.0
YGR194C,31.0
YGR195W,32.0
YGR196C,22.0
YGR197C,26.0
YGR198W,21.0
YGR199W,22.0
YGR200C,15.0
YGR201C,30.0
YGR202C,27.0
YGR203W,39.0
YGR204C-A,6.0
YGR204W,46.0
YGR205W,24.0
YGR206W,20.0
YGR207C,22.0
YGR208W,23.0
YGR209C,41.0
YGR210C,27.0
YGR211W,73.0
YGR212W,22.0
YGR213C,48.0
YGR214W,37.0
YGR215W,33.0
YGR216C,21.0
YGR217W,22.0
YGR218W,29.0
YGR219W,26.0
YGR220C,32.0
YGR221C,41.0
YGR222W,28.0
YGR223C,23.0
YGR224W,25.0
YGR225W,21.0
YGR226C,21.0
YGR227W,22.0
YGR228W,12.0
YGR229C,27.0
YGR230W,31.0
YGR231C,25.0
YGR232W,20.0
YGR233C,35.0
YGR234W,82.0
YGR235C,32.0
YGR236C,29.0
YGR237C,24.0
YGR238C,29.0
YGR239C,27.0
YGR240C,27.0
YGR240C-A,9.0
YGR241C,26.0
YGR242W,14.0
YGR243W,51.0
YGR244C,38.0
YGR245C,22.0
YGR246C,16.0
YGR247W,21.0
YGR248W,81.0
YGR249W,66.0
YGR250C,70.0
YGR251W,32.0
YGR252W,12.0
YGR253C,44.0
YGR254W,68.0
YGR255C,31.0
YGR256W,64.0
YGR257C,21.0
YGR258C,42.0
YGR259C,31.0
YGR260W,46.0
YGR261C,30.0
YGR262C,18.0
YGR263C,16.0
YGR264C,28.0
YGR265W,15.0
YGR266W,16.0
YGR267C,32.0
YGR268C,39.0
YGR269W,15.0
YGR270C-A,
YGR270W,21.0
YGR271C-A,16.0
YGR271W,31.0
YGR273C,20.0
YGR274C,27.0
YGR275W,29.0
YGR276C,16.0
YGR277C,23.0
YGR278W,28.0
YGR279C,60.0
YGR280C,61.0
YGR281W,34.0
YGR282C,55.0
YGR283C,33.0
YGR284C,33.0
YGR285C,47.0
YGR286C,42.0
YGR287C,35.0
YGR288W,28.0
YGR289C,30.0
YGR290W,10.0
YGR291C,11.0
YGR292W,40.0
YGR293C,12.0
YGR294W,36.0
YGR295C,42.0
YGR296C-A,
YGR296C-B,
YGR296W,55.0
YHL001W,54.0
YHL002C-A,
YHL002W,20.0
YHL003C,29.0
YHL004W,43.0
YHL005C,17.0
YHL006C,22.0
YHL006W-A,
YHL007C,27.0
YHL008C,27.0
YHL009C,22.0
YHL009W-A,17.0
YHL009W-B,10.0
YHL010C,25.0
YHL011C,23.0
YHL012W,39.0
YHL013C,30.0
YHL014C,32.0
YHL015W,47.0
YHL015W-A,9.0
YHL016C,48.0
YHL017W,24.0
YHL018W,24.0
YHL019C,18.0
YHL019W-A,
YHL020C,20.0
YHL021C,77.0
YHL022C,33.0
YHL023C,23.0
YHL024W,41.0
YHL025W,26.0
YHL026C,33.0
YHL027W,31.0
YHL028W,74.0
YHL029C,44.0
YHL030W,34.0
YHL030W-A,
YHL031C,37.0
YHL032C,37.0
YHL033C,37.0
YHL034C,43.0
YHL034W-A,
YHL035C,30.0
YHL036W,44.0
YHL037C,21.0
YHL038C,22.0
YHL039W,27.0
YHL040C,50.0
YHL041W,26.0
YHL042W,24.0
YHL043W,18.0
YHL044W,38.0
YHL045W,19.0
YHL046C,31.0
YHL046W-A,
YHL047C,44.0
YHL048C-A,9.0
YHL048W,54.0
YHL049C,35.0
YHL050C,32.0
YHL050W-A,
YHR001W,35.0
YHR001W-A,52.0
YHR002W,19.0
YHR003C,23.0
YHR004C,35.0
YHR005C,35.0
YHR005C-A,51.0
YHR006W,29.0
YHR007C,64.0
YHR007C-A,14.0
YHR008C,36.0
YHR009C,24.0
YHR010W,61.0
YHR011W,21.0
YHR012W,17.0
YHR013C,31.0
YHR014W,24.0
YHR015W,28.0
YHR016C,25.0
YHR017W,22.0
YHR018C,85.0
YHR019C,37.0
YHR020W,30.0
YHR021C,53.0
YHR021W-A,20.0
YHR022C,39.0
YHR022C-A,8.0
YHR023W,30.0
YHR024C,18.0
YHR025W,50.0
YHR026W,28.0
YHR027C,18.0
YHR028C,21.0
YHR028W-A,
YHR029C,36.0
YHR030C,39.0
YHR031C,21.0
YHR032C-A,
YHR032W,37.0
YHR032W-A,
YHR033W,55.0
