,genes,smf,dmf,rank,positive_rank,negative_rank,positive_weighted_rank,negative_weighted_rank,absolute_weighted_rank
4313,YMR284W,0.9875000000000792,0.00017288702041195345,3999.0,0.1864420499637248,-0.190000859263065,4.662216803293944e-05,-4.7512092838976004e-05,9.413426087191544e-05
4314,YMR285C,1.0321999999998586,0.0001839208231632387,5202.0,0.3593385588361207,-0.34148416752437305,6.907700092966565e-05,-6.564478422229394e-05,0.0001347217851519596
4315,YMR287C,0.4190000000000215,7.820806672314628e-05,3530.0,0.1705011610904548,-0.1460826275124543,4.83006122069277e-05,-4.138318059842898e-05,8.968379280535667e-05
4316,YMR289W,0.9960000000000788,0.00017678302227509132,4884.0,0.4104491669338723,-0.37920336490152395,8.403955096926133e-05,-7.764196660555365e-05,0.00016168151757481498
4317,YMR290C,0.8332438202246913,0.00014718952014768595,5121.0,0.32761264975615945,-0.3798548433045511,6.397435066513561e-05,-7.417591160018572e-05,0.0001381502622653213
4318,YMR291W,1.0203000000000888,0.00018131760651135946,5094.0,0.27484697829397825,-0.3192602779304758,5.395504089006248e-05,-6.267378836483624e-05,0.00011662882925489873
4319,YMR292W,1.0204999999998514,0.0001811803490806488,5132.0,0.31677100891193977,-0.3598420479971416,6.172467048167182e-05,-7.011731254815697e-05,0.00013184198302982882
4320,YMR293C,0.34850000000000125,5.606110942662169e-05,524.0,0.031324361016467926,-0.026752081096942312,5.977931491692352e-05,-5.10535898796609e-05,0.00011083290479658443
4321,YMR294W,0.9054999999998944,0.00016041468819752135,5201.0,0.3780197814686209,-0.4548250783782967,7.268213448733339e-05,-8.744954400659424e-05,0.00016013167849392764
4322,YMR294W-A,1.0320000000000709,0.00018148137301001103,4070.0,0.2599861642897657,-0.18860593364219896,6.387866444465987e-05,-4.6340524236412534e-05,0.00011021918868107242
4323,YMR295C,1.0390000000000021,0.0001851554339002876,5201.0,0.2895008172671107,-0.2993384161769126,5.5662529757183376e-05,-5.755401195479958e-05,0.00011321654171198294
4324,YMR296C,0.7641903291219051,0.00013449670311832827,5247.0,0.5439655290349856,-0.5510843110256756,0.00010367172270535269,-0.00010502845645619887,0.0002087001791615516
4325,YMR297W,1.0147999999999435,0.00017792816710479435,4090.0,0.2569347409790497,-0.2362928087604061,6.282023006822731e-05,-5.777330287540492e-05,0.00012059353294363225
4326,YMR298W,0.9574843813662354,0.0001722483676058221,5070.0,0.3965489703582855,-0.3938098815462244,7.821478705291627e-05,-7.767453284935392e-05,0.00015588931990227019
4327,YMR299C,0.9483000000000168,0.00016867740978247412,5288.0,0.3782937162115467,-0.4095664819282295,7.15381460309279e-05,-7.745205785329605e-05,0.00014899020388422395
4328,YMR300C,1.0367999999998982,0.0001854747424168656,5222.0,0.38146943000028,-0.30307275084288193,7.305044618925315e-05,-5.8037677296607044e-05,0.00013108812348586014
4329,YMR301C,0.8739999999999204,0.00015876523463698413,3999.0,0.24655049767093384,-0.3056470312831387,6.165303767715274e-05,-7.643086553716897e-05,0.0001380839032143217
4330,YMR302C,0.9407000000000814,0.00016766342558765897,5251.0,0.3015341951682262,-0.3016140834729073,5.742414686121238e-05,-5.743936078326172e-05,0.00011486350764447409
4331,YMR303C,1.049000000000023,0.0001871940845521861,5269.0,0.2952428891063982,-0.27402600123652715,5.603395124433445e-05,-5.200721222936556e-05,0.0001080411634737
4332,YMR304C-A,1.0414999999999648,0.00018293656593128065,4138.0,0.2554523542041155,-0.21282691574164628,6.173329004449383e-05,-5.14323140989962e-05,0.00011316560414349004
4333,YMR304W,0.8861999999999293,0.00015773277464013784,5249.0,0.2616116573324733,-0.2934849516910264,4.984028526052072e-05,-5.591254556887529e-05,0.00010575283082939599
4334,YMR305C,1.0410000000000974,0.00018272424592243521,4150.0,0.23430416883185526,-0.2281456683818872,5.645883586309764e-05,-5.497485985105716e-05,0.00011143369571415479
4335,YMR306C-A,1.0354999999999623,0.00018226202825553177,4093.0,0.23584698829784514,-0.1591661087736196,5.762203476614834e-05,-3.8887395253755095e-05,9.650943001990344e-05
4336,YMR306W,1.032799999999957,0.00018109421889298536,4191.0,0.21767168245115354,-0.2315979930953267,5.193788653093618e-05,-5.526079529833612e-05,0.00010719868182927231
4337,YMR307W,0.7902999999998829,0.00013971927733491378,5170.0,0.4738008549454531,-0.5367535364911538,9.164426594689616e-05,-0.00010382080009500072,0.00019546506604189689
4338,YMR308C,0.8364999999999191,0.00015256178412539274,4163.0,0.29055909934989593,-0.29986554858581604,6.979560397547344e-05,-7.203111904535577e-05,0.0001418267230208292
4339,YMR309C,0.6763179251250538,0.000123304231911126,4225.0,0.3405057032697347,-0.3503020233455331,8.059306586265911e-05,-8.291172150190133e-05,0.00016350478736456046
4340,YMR310C,0.9750000000001589,0.00017367789822207374,5250.0,0.3533141364672407,-0.3591125436993925,6.729793075566489e-05,-6.840238927607477e-05,0.00013570032003173965
4341,YMR311C,0.9835000000000992,0.00017567338955075,5237.0,0.3546252381408051,-0.3038943704727987,6.771534048898321e-05,-5.802833119587526e-05,0.00012574367168485847
4342,YMR312W,0.7417999999998548,0.00013146893432346146,5294.0,0.3944953889542605,-0.4503797597774691,7.451745163472997e-05,-8.507362292736476e-05,0.00015959107456209472
4343,YMR313C,1.0162000000000253,0.00018090319030614955,5174.0,0.2459471324764362,-0.2646504992245112,4.753520148365601e-05,-5.1150077159743184e-05,9.86852786433992e-05
4344,YMR315W,1.0562000000000122,0.00018847387962082907,5163.0,0.3985752539550649,-0.3412311514994614,7.7198383489263e-05,-6.609164274636092e-05,0.00014329002623562396
