ORF,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10,Var2_11,Var2_12,Var2_13,Var2_14,Var2_15,Var2_16,Var2_17,Var2_18,Var2_19,Var2_20,Var2_21,Var2_22,Var2_23,Var2_24,Var2_25,Var2_26,Var2_27,Var2_28,Var2_29,Var2_30,Var2_31
YHL042W,-0.256747404844291,-0.280246913580247,-0.242740619902121,-0.196874143131341,-0.257237936772047,-0.209255533199195,-0.175799809946151,-0.174083769633508,-0.21198928332217,-0.34026402640264,-0.273687918281085,-0.348679514632405,-0.391717583163612,-0.427155963302752,-0.518871252204586,-0.400441779741243,-0.295994065281899,-0.121212121212121,-0.155722891566265,-0.249479631281594,-0.316530995616781,-0.281797896079056,-0.147162083089526,-0.217341482047364,-0.221997981836529,-0.316028798787419,-0.312916111850865,-0.386645962732919,-0.48602002071108,-0.3120187479076,-0.392253811289658
YCL058C,-0.212456747404844,-0.22716049382716,-0.144535073409462,-0.129695640252262,-0.131447587354409,-0.186452045606975,-0.401330376940133,-0.217604712041885,-0.136972538513061,-0.201320132013201,-0.224727016555125,-0.369022127052106,-0.335030549898167,-0.325504587155963,-0.361552028218695,-0.334805932470811,-0.466617210682493,-0.309299895506792,-0.491867469879518,-0.466250371691942,-0.443957420162805,-0.591966847306344,-0.338502047981275,-0.33231474407945,-0.226370669357551,-0.106100795755968,-0.136817576564581,-0.0846273291925466,-0.123230928546773,-0.130900569132909,-0.149567367119901
YEL054C,-0.110726643598616,-0.338271604938272,-0.320717781402936,-0.305182341650672,-0.601663893510815,-0.812877263581489,-0.47450110864745,-0.472513089005236,-0.465170797052914,-0.531023102310231,-0.485734413525889,-0.474660956459672,-0.41479972844535,-0.220183486238532,-0.160846560846561,-0.195645313979173,-0.199554896142433,-0.262277951933124,-0.301807228915663,-0.295866785608088,-0.178146524733876,-0.11125278928913,-0.213867758923347,-0.298701298701299,-0.196770938446014,-0.11898446381205,-0.0745672436750998,-0.266692546583851,-0.254401104590956,-0.244392366923334,-0.480840543881335
YPL173W,-0.385467128027682,-0.384362139917695,-0.295595432300163,-0.308472717301892,-0.346422628951747,-0.299463447350771,-0.196072220462464,-0.226112565445026,-0.0900870730073677,-0.106930693069307,-0.0979218034519197,-0.247323340471092,-0.214528173794976,-0.515596330275229,-0.323456790123457,-0.282423477437678,-0.385385756676558,-0.330198537095089,-0.318373493975904,-0.395182872435326,-0.267689417658109,-0.336308575071725,-0.223815096547689,-0.192895339954163,-0.188025563403969,-0.30882910193255,-0.277296937416778,-0.305900621118012,-0.351052813255091,-0.30498828255775,-0.394313967861557
YHR176W,-0.319377162629758,-0.465843621399177,-0.671778140293638,-0.708801754867014,-0.790349417637271,-0.577800134138162,-0.284447260057016,-0.258180628272251,-0.308439383791025,-0.24950495049505,-0.29306093694963,-0.454318344039971,-0.420909708078751,-0.510825688073394,-0.43668430335097,-0.384032817923635,-0.433605341246291,-0.216300940438871,-0.150602409638554,-0.199821587867975,-0.276142767689418,-0.298374242907236,-0.286717378583967,-0.260504201680672,-0.338042381432896,-0.331943918150815,-0.266977363515313,-0.180512422360248,-0.117362789092164,-0.173418145296284,-0.253399258343634
YIR041W,-0.486159169550173,-0.759259259259259,-0.7115823817292,-0.603235536057033,-0.691846921797005,-0.346747149564051,-0.21729490022173,-0.486910994764398,-0.480910917615539,-0.42970297029703,-0.396618527650581,-0.492505353319058,-0.425661914460285,-0.385321100917431,-0.290652557319224,-0.124960555380246,-0.0882789317507419,-0.173807035876001,-0.203915662650602,-0.344335414808207,-0.554790231684408,-0.441185846350016,-0.40286717378584,-0.415966386554622,-0.393878237470568,-0.523304281924972,-0.321904127829561,-0.591226708074534,-0.453227476700035,-0.369601606963509,-0.249278945199835
YDL099W,-0.171280276816609,-0.0707818930041152,-0.0492659053833605,-0.121743899095147,-0.189018302828619,-0.152917505030181,-0.0418118466898955,-0.000981675392670157,0,-0.0933993399339934,-0.210637548432547,-0.342255531763026,-0.378139850644942,-0.556697247706422,-0.531569664902998,-0.405490691069738,-0.303041543026706,-0.202716823406479,-0.137951807228916,-0.120725542670235,-0.0895428929242329,-0.114440548294549,-0.0842598010532475,-0.144385026737968,-0.0824083417423478,-0.0344827586206897,-0.172436750998668,-0.329192546583851,-0.33586468760787,-0.262470706394376,-0.117840955912649
YNL151C,-0.565743944636678,-0.394238683127572,-0.444698205546493,-0.307375925418152,-0.447920133111481,-0.521797451374916,-0.309787773202407,-0.364856020942408,-0.259879437374414,-0.0759075907590759,-0.204297287777386,-0.188793718772305,-0.162932790224033,-0.249908256880734,-0.104761904761905,-0.127169454086463,-0.222551928783383,-0.214907697666318,-0.306927710843373,-0.390425215581326,-0.290231684408266,-0.235575390500478,-0.140433001755412,-0.144766997708174,-0.12108980827447,-0.192118226600985,-0.249334221038615,-0.267080745341615,-0.298929927511218,-0.211583528624037,-0.260815822002472
YDR299W,-0.306920415224913,-0.299588477366255,-0.124306688417618,-0.135727995612832,-0.144425956738769,-0.239771965124078,-0.37377256889452,-0.325916230366492,-0.334896182183523,-0.17986798679868,-0.29940119760479,-0.391149179157744,-0.260692464358452,-0.177247706422018,-0.0821869488536155,-0.147996213316504,-0.208827893175074,-0.221177290142807,-0.223192771084337,-0.298245614035088,-0.299624295554164,-0.274466050366592,-0.313926272674078,-0.332696715049656,-0.255634039690548,-0.328533535430087,-0.225366178428762,-0.160714285714286,-0.146013117017604,0,0
YLR020C,-0.28961937716263,-0.579012345679012,-0.351060358890701,-0.17987386893337,-0.185357737104825,-0.199865861837693,-0.248337028824834,-0.1842277486911,-0.24614869390489,-0.225412541254125,-0.213807678760127,-0.253747323340471,-0.318737270875764,-0.297247706422018,-0.144973544973545,-0.0372357210476491,-0.0267062314540059,-0.158481365377917,-0.311144578313253,-0.280107047279215,-0.121164683782091,-0.165444692381256,-0.30163838502048,-0.441558441558442,-0.248906828119744,-0.0992800303145131,-0.117177097203728,-0.25,-0.189851570590266,-0.195179109474389,-0.417387721466831
