ORF,Var2_1,Var2_2,Var2_3,Var2_4,Var2_5,Var2_6,Var2_7,Var2_8,Var2_9,Var2_10,Var2_11,Var2_12,Var2_13,Var2_14,Var2_15,Var2_16,Var2_17,Var2_18,Var2_19,Var2_20,Var2_21,Var2_22,Var2_23,Var2_24,Var2_25,Var2_26,Var2_27,Var2_28,Var2_29,Var2_30,Var2_31
YGL233W,-0.410596026490066,-0.229946524064171,-0.171875,-0.231884057971014,-0.236453201970443,-0.208955223880597,-0.237209302325581,-0.29277566539924,-0.312217194570136,-0.217557251908397,-0.107843137254902,-0.408653846153846,-0.169491525423729,-0.160220994475138,-0.131004366812227,-0.132701421800948,-0.368715083798883,-0.328947368421053,-0.308016877637131,-0.481283422459893,-0.395833333333333,-0.290502793296089,-0.329896907216495,-0.34061135371179,-0.27807486631016,-0.141414141414141,-0.106741573033708,-0.2,-0.186602870813397,-0.0847457627118644,-0.117021276595745
YIL055C,-0.350993377483444,-0.433155080213904,-0.364583333333333,-0.367149758454106,-0.310344827586207,-0.323383084577114,-0.269767441860465,-0.209125475285171,-0.248868778280543,-0.206106870229008,-0.0980392156862745,-0.206730769230769,-0.288135593220339,-0.248618784530387,-0.22707423580786,-0.383886255924171,-0.424581005586592,-0.223684210526316,-0.248945147679325,-0.0267379679144385,-0.0625,-0.122905027932961,-0.11340206185567,-0.109170305676856,-0.0695187165775401,-0.0909090909090909,-0.0337078651685393,-0.487179487179487,-0.354066985645933,-0.27683615819209,-0.26063829787234
YLR103C,-0.251655629139073,-0.0213903743315508,-0.0989583333333333,-0.0144927536231884,0,-0.0149253731343284,-0.013953488372093,-0.00760456273764259,-0.16289592760181,-0.248091603053435,-0.553921568627451,-0.326923076923077,-0.148305084745763,-0.198895027624309,-0.235807860262009,-0.388625592417062,-0.525139664804469,-0.355263157894737,-0.0759493670886076,-0.112299465240642,-0.21875,-0.184357541899441,-0.278350515463918,-0.179039301310044,-0.475935828877005,-0.353535353535354,-0.202247191011236,-0.184615384615385,-0.172248803827751,-0.203389830508475,-0.23936170212766
YAL017W,-0.225165562913907,-0.213903743315508,-0.307291666666667,-0.0772946859903382,-0.0492610837438424,-0.174129353233831,-0.162790697674419,-0.20532319391635,-0.294117647058823,-0.198473282442748,0,-0.00961538461538462,-0.00847457627118644,0,-0.0436681222707424,-0.364928909952607,-0.430167597765363,-0.166666666666667,-0.139240506329114,-0.0855614973262032,0,-0.446927374301676,-0.154639175257732,-0.109170305676856,-0.0588235294117647,-0.0353535353535354,-0.0842696629213483,-0.0769230769230769,0,-0.129943502824859,-0.175531914893617
YCL067C,0,0,-0.0989583333333333,-0.0241545893719807,-0.0640394088669951,-0.0497512437810945,-0.102325581395349,-0.0798479087452472,-0.194570135746606,-0.229007633587786,-0.166666666666667,-0.163461538461538,-0.0550847457627119,-0.0718232044198895,-0.091703056768559,-0.132701421800948,-0.217877094972067,-0.149122807017544,0,-0.106951871657754,-0.322916666666667,-0.497206703910615,-0.149484536082474,0,-0.112299465240642,-0.106060606060606,-0.0955056179775281,-0.153846153846154,-0.062200956937799,-0.0734463276836158,-0.0478723404255319
YDL074C,-0.205298013245033,-0.219251336898396,-0.213541666666667,-0.246376811594203,-0.241379310344828,-0.432835820895522,-0.246511627906977,-0.209125475285171,-0.20814479638009,-0.278625954198473,-0.318627450980392,-0.264423076923077,-0.25,-0.243093922651934,-0.432314410480349,-0.33175355450237,-0.441340782122905,-0.228070175438596,-0.20253164556962,-0.262032085561497,-0.255208333333333,-0.290502793296089,-0.0876288659793815,-0.0611353711790393,-0.149732620320856,-0.121212121212121,-0.224719101123595,-0.276923076923077,-0.492822966507177,-0.440677966101695,-0.430851063829787
YHR140W,-0.19205298013245,-0.128342245989305,-0.229166666666667,-0.367149758454106,-0.423645320197044,-0.626865671641791,-0.362790697674419,-0.482889733840304,-0.221719457013575,-0.129770992366412,-0.0588235294117647,-0.0144230769230769,0,0,-0.0218340611353712,-0.0568720379146919,0,0,0,0,0,-0.0782122905027933,-0.00515463917525773,-0.0567685589519651,-0.117647058823529,-0.136363636363636,-0.134831460674157,-0.128205128205128,-0.143540669856459,-0.497175141242938,-0.234042553191489
YJR010W,-0.291390728476821,-0.262032085561497,-0.166666666666667,-0.154589371980676,-0.0985221674876847,-0.263681592039801,-0.330232558139535,-0.258555133079848,-0.117647058823529,-0.137404580152672,-0.0686274509803922,0,-0.0847457627118644,-0.110497237569061,-0.126637554585153,-0.23696682464455,-0.229050279329609,-0.179824561403509,-0.282700421940928,-0.358288770053476,-0.192708333333333,-0.139664804469274,-0.164948453608247,-0.148471615720524,-0.27807486631016,-0.262626262626263,-0.106741573033708,-0.0256410256410256,0,0,-0.0319148936170213
YLR100W,-0.291390728476821,-0.235294117647059,-0.119791666666667,-0.217391304347826,-0.25615763546798,-0.278606965174129,-0.297674418604651,-0.201520912547528,-0.352941176470588,-0.187022900763359,-0.191176470588235,-0.480769230769231,-0.423728813559322,-0.154696132596685,-0.170305676855895,-0.0995260663507109,-0.212290502793296,-0.153508771929825,-0.0886075949367089,-0.117647058823529,-0.65625,-0.737430167597765,-0.608247422680412,-0.218340611353712,-0.197860962566845,-0.181818181818182,-0.0786516853932584,-0.251282051282051,-0.311004784688995,-0.367231638418079,-0.351063829787234
YEL033W,0,0,0,-0.0289855072463768,-0.0295566502463054,-0.0199004975124378,0,0,0,-0.0229007633587786,-0.0882352941176471,-0.0192307692307692,0,-0.176795580110497,-0.139737991266376,-0.052132701421801,-0.0502793296089385,0,-0.0126582278481013,-0.133689839572193,-0.3125,-0.29608938547486,-0.324742268041237,-0.135371179039301,-0.358288770053476,-0.95959595959596,-0.99438202247191,-0.635897435897436,-0.354066985645933,0,-0.154255319148936
