,Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity
835,TIF4632,YGL049C,below threshold,14.11,3.8279400000000003,cytosol,108.993,cytosol,106.245,cytosol,33.9026
1227,TIF5,YPR041W,cytosol,274.15,77.2689,cytosol,117.51,cytosol,141.097,cytosol,442.14099999999996
672,TIF6,YPR016C,nucleus,150.08,45.6396,"punctate,nucleus",182.342,"nucleus,nucleolus",0.0,"punctate,nucleus",191.398
992,TIM10,YHR005C-A,below threshold,15.7,3.70681,cytosol,109.62799999999999,missing,,missing,
838,TIM11,YDR322C-A,mitochondria,39.8,14.9985,cytosol,134.116,cytosol,110.62,cytosol,38.1945
2238,TIM12,YBR091C,,,,cytosol,46.781000000000006,missing,18.8579,missing,
1543,TIM13,YGR181W,cytosol,21.98,4.84892,cytosol,106.744,cytosol,24.3458,cytosol,39.8506
2357,TIM17,YJL143W,below threshold,13.04,4.34275,,,,,,
2358,TIM18,YOR297C,mitochondria,18.82,5.9244,,,,,,
192,TIM21,YGR033C,below threshold,17.24,3.7507800000000002,mitochondria,113.04899999999999,mitochondria,75.9342,mitochondria,35.3299
2360,TIM22,YDL217C,below threshold,14.55,4.9202900000000005,,,,,,
52,TIM23,YNR017W,mitochondria,53.01,14.8531,mitochondria,98.6286,mitochondria,93.0315,mitochondria,58.4449
225,TIM44,YIL022W,below threshold,14.53,3.97234,mitochondria,82.6247,mitochondria,0.0,missing,0.0
330,TIM50,YPL063W,mitochondria,66.2,18.0439,mitochondria,131.925,missing,,below threshold,15.6851
97,TIM54,YJL054W,mitochondria,28.68,6.82455,mitochondria,49.6169,missing,0.0,missing,0.0
971,TIM8,YJR135W-A,below threshold,18.28,4.83637,cytosol,92.0561,cytosol,36.8597,below threshold,28.0751
108,TIP1,YBR067C,,,,vacuole,0.0,"cell periphery,vacuole",18.0696,ER,100.586
87,TIP20,YGL145W,ER,24.21,6.89955,cytosol,95.8201,cytosol,87.4276,"ambiguous,ER",27.974
1857,TIP41,YPR040W,below threshold,18.15,4.20984,cytosol,90.9375,missing,141.695,cytosol,33.0474
282,TIR1,YER011W,,,,"cell periphery,vacuole",66.2048,"cell periphery,vacuole",30.1078,ambiguous,20.5347
