,Gene Name,ORF,SD Localization,SD Intensity (Median),SD STD,N' NOP1pr-GFP in SD Localization,N' NOP1pr-GFP in SD Intensity,N' TEF2pr-mCherry in SD Localization,N' TEF2pr-mCherry in SD Intensity,N' NATIVEpr-GFP in SD Localization,N' NATIVEpr-GFP in SD Intensity
375,HMG2,YLR450W,nuclear periphery,28.13,7.01428,ER,101.053,"ER,nuclear periphery",110.354,below threshold,18.8535
53,HMI1,YOL095C,cytosol,19.23,4.30126,mitochondria,51.5013,mitochondria,49.2294,mitochondria,21.8669
1319,HMLALPHA1,YCL066W,,,,nucleus,43.351000000000006,nucleus,24.9467,below threshold,21.0537
1316,HMLALPHA2,YCL067C,,,,nucleus,36.0771,nucleus,14.9832,below threshold,17.6031
96,HMO1,YDR174W,nucleolus,127.05,39.729,nucleolus,356.39599999999996,"nucleus,nucleolus",531.582,"nucleus,nucleolus",90.3194
1383,HMRA1,YCR097W,below threshold,17.55,3.58667,"cytosol,nucleus",84.2407,missing,,missing,
107,HMRA2,YCR096C,below threshold,14.59,3.94175,nucleus,124.316,missing,,punctate,18.653
1958,HMS1,YOR032C,below threshold,15.41,3.8666,"cytosol,nucleus",41.7785,"cytosol,nucleus",73.7343,below threshold,19.6331
542,HMS2,YJR147W,nucleus:cytosol,29.59,8.11266,nucleus,38.464,"punctate,nucleus",26.2706,below threshold,18.5216
318,HMT1,YBR034C,below threshold,16.47,3.81145,cytosol,100.178,nucleus,87.3634,nucleus,67.9177
988,HMX1,YLR205C,below threshold,18.04,4.67174,,,,,,
149,HNM1,YGL077C,cell periphery,120.67,39.6101,"ER,vacuole",65.1577,"cell periphery,vacuole",125.85600000000001,"ER,vacuole",44.6048
620,HNT1,YDL125C,below threshold,17.97,3.4137199999999996,"cytosol,nucleus",120.694,cytosol,211.93,below threshold,21.1327
2010,HNT2,YDR305C,cytosol,23.75,5.82198,cytosol,23.9909,cytosol,,punctate,16.2991
816,HNT3,YOR258W,below threshold,18.77,3.8311699999999997,cytosol,87.3482,missing,,missing,
892,HO,YDL227C,below threshold,16.03,4.69468,"punctate,nucleus",27.0842,below threshold,6.14331,cytosol,20.0759
940,HOC1,YJR075W,punctate,22.89,6.12194,"punctate,vacuole",59.0821,vacuole,28.9718,punctate,46.6239
71,HOF1,YMR032W,bud neck,,6.0206599999999995,bud neck,43.9242,bud neck,51.5698,bud neck,24.9206
1365,HOG1,YLR113W,cytosol,68.89,17.3003,cytosol,156.40200000000002,nucleus,217.87900000000002,cytosol,63.4551
143,HOL1,YNR055C,cell periphery,25.6,6.58408,cell periphery,30.8523,"cell periphery,vacuole",179.19400000000002,below threshold,23.6189
945,HOM2,YDR158W,cytosol,180.38,63.0228,cytosol,354.62300000000005,cytosol,395.316,cytosol,266.913
786,HOM3,YER052C,below threshold,15.32,3.6068599999999997,cytosol,133.159,cytosol,176.023,cytosol,91.4604
745,HOM6,YJR139C,cytosol,144.22,46.6267,cytosol,512.625,cytosol,625.095,cytosol,251.003
700,HOP1,YIL072W,below threshold,18.02,3.43364,nucleus,85.2606,nucleus,0.0,below threshold,20.358
1579,HOP2,YGL033W,below threshold,16.46,3.12129,cytosol,63.441,cytosol,82.3241,"punctate,mitochondria",12.6845
239,HOR7,YMR251W-A,,,,"cell periphery,vacuole",69.4984,"cell periphery,vacuole",26.8119,ER,141.189
1596,HOS1,YPR068C,below threshold,17.0,3.8725400000000003,"cytosol,nucleus",67.4408,nucleus,73.3321,cytosol,19.542
1658,HOS2,YGL194C,nucleus,34.87,7.94417,"cytosol,nucleus",43.0033,nucleus,16.0426,nucleus,21.1083
90,HOS3,YPL116W,bud neck,,7.6278,"cytosol,bud neck",74.6819,cytosol,69.906,bud neck,33.2708
1437,HOS4,YIL112W,nucleus,25.04,5.39245,"cytosol,nucleus",41.0212,nucleus,9.44613,nucleus,23.73
2109,HOT13,YKL084W,cytosol,21.55,5.076169999999999,cytosol,216.985,cytosol,0.0,cytosol,30.8413
1855,HPA2,YPR193C,below threshold,17.49,4.16286,cytosol,91.7162,"cell periphery,vacuole",0.0,below threshold,19.8988
639,HPA3,YEL066W,,,,cytosol,148.082,cytosol,249.06599999999997,below threshold,20.0837
230,HPC2,YBR215W,nucleus,23.49,4.39814,nucleus,32.3401,nucleus,15.1334,nucleus,25.2945
265,HPF1,YOL155C,,,,"cell periphery,vacuole",39.2877,"cell periphery,vacuole",17.635,cytosol,45.2872
784,HPR1,YDR138W,nucleus,34.95,7.56835,nucleus,50.4539,nucleus,26.9435,nucleus,27.8483
1162,HPT1,YDR399W,cytosol,227.15,61.8213,cytosol,140.994,cytosol,0.0,missing,
1190,HRB1,YNL004W,below threshold,15.38,3.6016,cytosol,63.1331,cytosol,0.0,cytosol,45.32
765,HRD3,YLR207W,below threshold,14.99,4.31656,ER,71.494,ER,15.6602,ER,27.6842
192,HRI1,YLR301W,,,,cytosol,232.253,cytosol,432.74699999999996,cytosol,61.0853
1727,HRK1,YOR267C,cytosol,50.59,13.4523,cytosol,71.9127,cytosol,57.8196,cytosol,35.5661
664,HRP1,YOL123W,nucleus,244.39,97.9739,nucleus,138.278,missing,0.0,nucleus,145.183
522,HRQ1,YDR291W,nucleus,19.27,4.48025,nucleus,69.836,nucleus,73.2509,nucleus,24.4771
44,HRR25,YPL204W,"nucleus, cytosol",65.0,12.3358,"cytosol,bud neck",77.4959,"punctate,bud neck",30.084,"cytosol,bud neck",68.7478
848,HRT1,YOL133W,cytosol,25.25,6.28245,"cytosol,nucleus",182.58599999999998,nucleus,181.703,nucleus,52.9917
485,HRT3,YLR097C,below threshold,14.17,4.36046,cytosol,73.5949,cytosol,80.8261,mitochondria,21.3158
1758,HSC82,YMR186W,,,,cytosol,384.439,missing,,cytosol,886.305
99,HSE1,YHL002W,punctate,34.43,9.00719,"cytosol,punctate",69.3404,"cytosol,punctate",51.2228,punctate,32.3882
146,HSF1,YGL073W,cytosol,53.3,19.0313,nucleolus,61.9007,nucleus,84.6391,nucleus,32.2183
927,HSH155,YMR288W,below threshold,15.93,5.010280000000001,"punctate,nucleus",58.1715,nucleus,16.0614,nucleus,19.745
712,HSH49,YOR319W,nucleus,27.14,6.12729,"cytosol,nucleus",71.918,nucleus,61.0609,nucleus,33.1405
874,HSK3,YKL138C-A,,,,punctate,70.828,punctate,51.8792,punctate,36.279
84,HSL1,YKL101W,bud neck,,5.55203,bud neck,47.8091,bud neck,13.4938,bud neck,20.6358
1015,HSL7,YBR133C,below threshold,16.41,4.56996,,,,,,
601,HSM3,YBR272C,,,,cytosol,104.791,nucleus,144.463,cytosol,21.906999999999996
2244,HSP10,YOR020C,,,,cytosol,178.52599999999998,missing,,missing,
1114,HSP104,YLL026W,cytosol,340.17,142.511,cytosol,213.889,cytosol,213.512,nucleus,163.024
1822,HSP12,YFL014W,cytosol,310.57,382.731,cytosol,316.202,vacuole,599.256,cytosol,372.88199999999995
249,HSP150,YJL159W,below threshold,16.48,4.23351,"cell periphery,vacuole",40.9866,"cell periphery,vacuole",16.5335,cytosol,413.37199999999996
1893,HSP26,YBR072W,punctate,529.13,444.384,cytosol,364.975,"cell periphery,vacuole",571.81,cytosol,369.30199999999996
104,HSP30,YCR021C,cell periphery,154.36,215.141,ER,38.9516,punctate,16.7298,below threshold,25.4305
925,HSP31,YDR533C,below threshold,16.16,4.16207,cytosol,261.27,cytosol,360.705,below threshold,19.9911
1018,HSP32,YPL280W,below threshold,15.85,3.5528,,,,,,
1019,HSP33,YOR391C,below threshold,16.77,4.41319,,,,,,
770,HSP42,YDR171W,punctate,122.68,53.1417,"cytosol,punctate",203.86700000000002,below threshold,0.0,punctate,89.4307
446,HSP60,YLR259C,,,,mitochondria,47.5034,"punctate,mitochondria",18.1137,mitochondria,19.377
162,HSP78,YDR258C,mitochondria,76.79,34.8009,mitochondria,138.751,mitochondria,164.792,mitochondria,21.1246
340,HSP82,YPL240C,cytosol,668.14,222.03400000000002,cytosol,107.225,cytosol,157.425,cytosol,165.69799999999998
117,HST1,YOL068C,nucleus,22.44,5.66726,nucleus,28.1218,nucleus,9.90049,below threshold,17.9179
483,HST2,YPL015C,cytosol,41.67,10.1643,cytosol,137.987,cytosol,179.523,below threshold,17.7889
1297,HST3,YOR025W,nucleus,17.45,5.16505,"cytosol,nucleus",30.0603,below threshold,5.85609,nucleus,22.1248
97,HST4,YDR191W,nucleus:cytosol,18.59,5.128480000000001,nucleus,21.1552,nucleus,5.07261,below threshold,20.0857
160,HSV2,YGR223C,below threshold,17.21,3.52408,"punctate,vacuole membrane",68.097,"punctate,vacuole membrane",76.1241,punctate,18.5838
1208,HTA1,YDR225W,below threshold,16.77,4.3891,nucleus,154.264,nucleus,,nucleus,37.602
1306,HTA2,YBL003C,nucleus,655.83,213.201,nucleus,205.236,nucleus,17.3872,"nucleus,nucleolus",307.027
227,HTB1,YDR224C,nucleus,1292.52,471.793,nucleolus,128.977,missing,18.682000000000002,nucleus,31.2579
1068,HTB2,YBL002W,nucleus,845.83,298.714,nucleus,150.018,ER,0.0,nucleus,283.101
2256,HTC1,YPL067C,,,,cytosol,129.62,cytosol,221.696,below threshold,21.0591
443,HTD2,YHR067W,below threshold,17.09,4.46281,mitochondria,54.3892,missing,,below threshold,19.8708
209,HTL1,YCR020W-B,nucleus,64.78,16.9137,nucleus,122.031,nucleus,168.613,nucleus,17.6526
312,HTS1,YPR033C,cytosol,143.22,34.8752,mitochondria,111.046,missing,0.0,missing,0.0
485,HTZ1,YOL012C,nucleus,120.4,38.1299,nucleus,197.604,nucleus,138.504,nucleus,80.1296
934,HUA1,YGR268C,cytosol,24.34,5.188219999999999,"punctate,nucleus",70.3226,below threshold,0.0,punctate,24.9259
489,HUA2,YOR284W,punctate,22.61,5.87965,punctate,64.5624,punctate,118.554,punctate,26.545
1344,HUB1,YNR032C-A,below threshold,12.76,3.41338,cytosol,256.066,cytosol,390.39599999999996,nucleus,53.0182
486,HUG1,YML058W-A,below threshold,19.66,8.094660000000001,cytosol,369.01800000000003,cytosol,511.94,below threshold,22.2121
1159,HUL4,YJR036C,below threshold,16.37,4.79167,cytosol,37.5935,cytosol,20.7416,below threshold,19.9891
195,HUL5,YGL141W,nucleus,28.49,7.78257,mitochondria,77.9866,missing,22.5391,"punctate,nucleus",22.5158
19,HUR1,YGL168W,below threshold,18.14,4.1357099999999996,below threshold,14.8225,below threshold,5.70653,below threshold,14.5726
451,HUT1,YPL244C,below threshold,17.86,4.3514800000000005,ER,100.661,ER,137.832,ER,23.1702
170,HVG1,YER039C,below threshold,14.08,3.9894800000000004,ER,26.1052,ER,11.464,below threshold,16.7435
832,HXK1,YFR053C,,,,cytosol,148.001,cytosol,154.961,cytosol,298.566
1465,HXK2,YGL253W,cytosol,1007.67,302.394,cytosol,239.053,cytosol,271.965,cytosol,403.75800000000004
81,HXT1,YHR094C,,,,cell periphery,59.6255,"cell periphery,vacuole",94.559,below threshold,14.102
69,HXT10,YFL011W,below threshold,16.49,4.17391,"cell periphery,vacuole",89.9587,"cell periphery,vacuole",175.951,below threshold,13.3626
172,HXT11,YOL156W,,,,cell periphery,130.71200000000002,"cell periphery,vacuole",153.155,below threshold,18.1346
150,HXT13,YEL069C,below threshold,19.7,5.68005,ER,89.1745,ER,81.2561,ER,34.6008
188,HXT14,YNL318C,,,,"cell periphery,vacuole",87.8552,"cell periphery,vacuole",144.424,below threshold,17.2916
17,HXT15,YDL245C,,,,cell periphery,150.726,"cell periphery,vacuole",240.446,below threshold,18.8933
121,HXT16,YJR158W,,,,cell periphery,120.48700000000001,"cell periphery,vacuole",235.679,below threshold,19.5801
148,HXT17,YNR072W,below threshold,17.03,4.0037199999999995,"cell periphery,vacuole",48.138000000000005,"cell periphery,vacuole",39.2237,below threshold,17.7989
105,HXT2,YMR011W,cell periphery,177.05,124.27600000000001,"cell periphery,vacuole",76.7686,"cell periphery,vacuole",124.29700000000001,"cell periphery,cytosol",41.7229
12,HXT3,YDR345C,cell periphery,405.63,164.817,cell periphery,98.2453,"cell periphery,vacuole",175.102,cell periphery,177.293
80,HXT4,YHR092C,,,,cell periphery,110.133,"cell periphery,vacuole",170.75,below threshold,18.2155
82,HXT5,YHR096C,cell periphery,44.68,56.047,cell periphery,145.328,"cell periphery,vacuole",234.40599999999998,cell periphery,18.4341
11,HXT6,YDR343C,,,,cell periphery,90.311,"cell periphery,vacuole",136.757,below threshold,14.7286
10,HXT7,YDR342C,,,,cell periphery,139.35,"cell periphery,vacuole",272.61,below threshold,14.4215
99,HXT8,YJL214W,below threshold,16.41,4.25104,"cell periphery,vacuole membrane",76.1217,"cell periphery,vacuole",79.282,below threshold,18.621
102,HXT9,YJL219W,below threshold,14.55,4.08512,"cell periphery,ER",99.2723,"cell periphery,vacuole",158.953,below threshold,18.2371
492,HYM1,YKL189W,cytosol,25.79,5.74506,cytosol,75.5032,cytosol,69.3938,below threshold,18.1359
1992,HYP2,YEL034W,,,,cytosol,419.43300000000005,missing,7.035239999999999,missing,
116,HYR1,YIR037W,below threshold,17.73,3.5727300000000004,cytosol,458.408,cytosol,713.7819999999999,cytosol,74.5323
1502,IAH1,YOR126C,below threshold,17.82,3.8080199999999995,cytosol,179.06799999999998,nucleus,,cytosol,29.8032
453,IAI11,YBL059W,,,,mitochondria,38.0462,mitochondria,31.4864,mitochondria,17.4481
239,IBA57,YJR122W,below threshold,16.16,3.31694,mitochondria,38.6153,mitochondria,,mitochondria,20.7607
1289,IBD2,YNL164C,cytosol,24.43,5.20589,cytosol,36.1469,cytosol,33.5603,below threshold,22.807
1046,IBI1,YGR273C,below threshold,15.77,3.8360800000000004,,,,,,
193,ICE2,YIL090W,ER,45.58,10.7158,ER,62.876000000000005,ER,86.7693,below threshold,20.5166
755,ICL1,YER065C,below threshold,14.96,3.3628400000000003,cytosol,126.37799999999999,cytosol,166.856,below threshold,21.6075
380,ICL2,YPR006C,mitochondria,22.58,5.10949,mitochondria,116.772,mitochondria,128.57299999999998,below threshold,17.7627
174,ICP55,YER078C,mitochondria,26.58,7.486389999999999,mitochondria,132.55700000000002,mitochondria,20.7634,mitochondria,21.048000000000002
1195,ICS2,YBR157C,below threshold,14.28,3.8646300000000005,cytosol,27.743000000000002,below threshold,5.52295,below threshold,17.2031
25,ICS3,YJL077C,mitochondria,18.1,5.2175,below threshold,15.9315,below threshold,6.0197199999999995,below threshold,19.4579
1049,ICT1,YLR099C,below threshold,17.36,3.6377,cytosol,34.7559,below threshold,13.4796,below threshold,20.0345
1381,ICY1,YMR195W,vacuole membrane,34.6,8.8808,cytosol,38.9249,below threshold,5.93525,cytosol,24.2174
336,IDH2,YOR136W,mitochondria,227.41,68.8931,mitochondria,177.737,mitochondria,0.0,"cell periphery,punctate,vacuole",123.17200000000001
241,IDI1,YPL117C,nucleus:cytosol,106.41,34.5615,cytosol,202.255,cytosol,241.095,cytosol,101.344
129,IDP1,YDL066W,mitochondria,194.6,59.0244,mitochondria,275.722,punctate,109.554,mitochondria,102.85799999999999
1278,IDP2,YLR174W,below threshold,15.85,4.01855,cytosol,108.47200000000001,cytosol,161.07299999999998,below threshold,20.3457
382,IDP3,YNL009W,cytosol,20.43,4.999,punctate,90.1325,punctate,93.613,punctate,21.5617
1201,IDS2,YJL146W,nucleus,29.74,7.28838,cytosol,67.2931,cytosol,86.631,nucleus,34.6576
2113,IES1,YFL013C,below threshold,15.48,3.62911,"cytosol,nucleus",55.3847,"cytosol,nucleus",151.482,nucleus,32.9397
1231,IES2,YNL215W,nucleus,32.9,7.48837,nucleus,89.8278,nucleus,418.097,nucleus,34.8803
163,IES3,YLR052W,nucleus,44.52,9.7516,nucleus,55.5587,nucleus,14.4381,nucleus,27.3448
1187,IES4,YOR189W,nucleus,37.75,8.953380000000001,"cytosol,nucleus",139.726,cytosol,175.429,nucleus,48.2668
365,IES5,YER092W,nucleus,39.45,8.56723,"cytosol,nucleus",83.611,nucleus,75.0194,nucleus,37.0551
673,IES6,YEL044W,,,,"punctate,nucleus",83.1247,nucleus,30.7939,nucleus,38.8531
123,IFA38,YBR159W,ER,58.1,14.7634,punctate,148.866,punctate,182.82299999999998,missing,
193,IFH1,YLR223C,nucleus,30.97,6.324,nucleus,45.8286,nucleus,26.3773,nucleus,37.5997
1060,IFM1,YOL023W,below threshold,15.77,3.7194599999999998,,,,,,
2115,IGD1,YFR017C,,,,cytosol,56.8843,cytosol,,below threshold,17.614
336,IGO1,YNL157W,below threshold,16.22,3.39606,"cytosol,nucleus",89.3101,nucleus,125.594,cytosol,36.273
518,IGO2,YHR132W-A,cytosol,50.9,13.8114,cytosol,85.4349,cytosol,113.90299999999999,cytosol,42.8302
830,IKI1,YHR187W,cytosol,34.15,8.06965,cytosol,105.441,punctate,161.965,cytosol,36.0331
592,IKI3,YLR384C,cytosol,67.87,17.5956,cytosol,313.115,cytosol,200.95,below threshold,24.1108
579,IKS1,YJL057C,below threshold,17.02,3.8623800000000004,"ER,vacuole",63.0931,ER,85.8421,below threshold,23.0181
558,ILM1,YJR118C,below threshold,16.89,4.6262099999999995,ER,120.86,punctate,221.852,ER,42.5019
2022,ILS1,YBL076C,cytosol,406.77,106.98,cytosol,272.129,cytosol,65.1924,cytosol,157.866
887,ILT1,YDR090C,,,,ER,47.9926,ER,44.4319,below threshold,22.7693
647,ILV1,YER086W,,,,ER,23.8239,missing,15.748,missing,0.0
304,ILV2,YMR108W,,,,mitochondria,189.453,mitochondria,,"nucleus,mitochondria",94.6803
431,ILV3,YJR016C,mitochondria,338.65,108.041,mitochondria,168.7,mitochondria,,missing,
280,ILV5,YLR355C,,,,mitochondria,80.0242,missing,,mitochondria,17.0662
394,ILV6,YCL009C,,,,mitochondria,73.45,missing,,mitochondria,19.0388
1272,IMA1,YGR287C,,,,cytosol,275.58299999999997,cytosol,198.68900000000002,below threshold,18.3425
1842,IMA2,YOL157C,,,,cytosol,187.673,ER,167.394,below threshold,17.9109
1795,IMA3,YIL172C,,,,cytosol,341.87699999999995,cytosol,122.97200000000001,below threshold,18.7404
1189,IMA5,YJL216C,,,,cytosol,188.935,cytosol,165.44299999999998,below threshold,19.521
1689,IMD2,YHR216W,below threshold,15.96,3.8302099999999997,cytosol,53.9397,cytosol,38.2471,below threshold,18.9577
996,IMD3,YLR432W,cytosol,243.5,64.9735,cytosol,322.92900000000003,cytosol,343.8,cytosol,306.33099999999996
2175,IMD4,YML056C,cytosol,105.91,28.0291,cytosol,277.095,cytosol,17.947,cytosol,115.95299999999999
762,IME1,YJR094C,below threshold,18.08,4.28235,cytosol,42.9725,below threshold,6.06712,mitochondria,18.3735
788,IME2,YJL106W,below threshold,15.58,4.3606300000000005,cytosol,40.5969,nucleus,7.2977300000000005,below threshold,17.4929
1001,IME4,YGL192W,below threshold,18.3,4.669969999999999,"cytosol,punctate",32.5689,below threshold,6.936939999999999,below threshold,19.0978
131,IMG1,YCR046C,mitochondria,44.82,10.5482,mitochondria,92.6431,mitochondria,27.6744,missing,0.0
132,IMG2,YCR071C,mitochondria,18.22,3.6686099999999997,mitochondria,77.6265,mitochondria,6.739380000000001,missing,0.0
316,IMH1,YLR309C,punctate:cytosol,30.78,8.26092,punctate,81.2039,punctate,108.834,punctate,39.4872
124,IML1,YJR138W,below threshold,15.73,3.54832,vacuole membrane,55.1533,ambiguous,30.5245,"punctate,nuclear periphery",25.7719
1720,IML2,YJL082W,cytosol,47.16,13.7982,cytosol,58.7921,nucleus,85.929,missing,
715,IML3,YBR107C,punctate,17.8,4.54007,"cytosol,nucleus",58.1471,nucleus,61.3126,punctate,20.4529
191,IMO32,YGR031W,,,,mitochondria,68.8152,mitochondria,81.4611,"cytosol,mitochondria",31.6386
1296,IMP1,YMR150C,below threshold,18.72,4.5728,"cytosol,punctate",32.0783,ambiguous,6.90325,below threshold,18.2572
290,IMP2,YMR035W,below threshold,16.36,4.69534,mitochondria,115.56299999999999,"punctate,mitochondria",11.3477,below threshold,15.4097
1014,IMP2',YIL154C,cytosol,26.47,7.90452,"cytosol,nucleus",98.6817,nucleus,95.9741,below threshold,24.2823
2206,IMP3,YHR148W,,,,"cytosol,nucleus",80.6098,missing,17.1378,missing,
2243,IMP4,YNL075W,below threshold,15.14,3.40674,"cytosol,nucleolus",87.3217,missing,29.7227,missing,0.0
798,INA1,YLR413W,,,,"ER,punctate",73.9874,"cell periphery,vacuole",37.3277,"cell periphery,vacuole",51.9252
224,INA22,YIR024C,,,,mitochondria,86.9872,mitochondria,42.1965,mitochondria,18.8648
137,INH1,YDL181W,mitochondria,54.29,28.2149,mitochondria,209.12900000000002,mitochondria,360.087,cytosol,75.288
414,INM1,YHR046C,cytosol,33.79,9.3943,cytosol,87.2291,missing,,below threshold,17.0836
1223,INM2,YDR287W,below threshold,17.57,4.39377,cytosol,88.2843,missing,0.0,below threshold,18.5289
92,INN1,YNL152W,cytosol,21.86,5.78878,"cytosol,bud neck",55.4113,bud neck,73.8198,bud neck,18.2006
1361,INO1,YJL153C,cytosol,288.75,145.327,cytosol,329.87699999999995,cytosol,329.246,cytosol,78.3761
332,INO2,YDR123C,,,,nucleus,57.2491,nucleus,22.6435,"punctate,nucleus",23.5502
843,INO4,YOL108C,nucleus,26.34,7.2241800000000005,nucleus,41.5274,nucleus,7.586639999999999,nucleus,32.1213
1133,INO80,YGL150C,below threshold,16.18,3.5343699999999996,"punctate,nucleus",69.7988,nucleus,6.739380000000001,nucleus,38.4959
350,INP1,YMR204C,punctate,21.7,6.61717,punctate,27.1746,punctate,12.6834,punctate,22.8624
347,INP2,YMR163C,cytosol,19.2,4.45769,punctate,28.4711,punctate,13.1873,punctate,15.8343
221,INP51,YIL002C,cytosol,22.22,5.22345,"punctate,mitochondria",70.3343,missing,33.4563,below threshold,15.7774
1882,INP52,YNL106C,punctate,24.6,6.944939999999999,"cytosol,punctate",71.3848,vacuole,0.0,"punctate,bud neck",25.6629
1626,INP53,YOR109W,punctate,47.25,10.3756,cytosol,152.72,cytosol,112.414,cytosol,23.6178
96,INP54,YOL065C,cytosol,20.35,4.70988,vacuole membrane,85.7666,vacuole membrane,124.887,below threshold,19.8522
996,IOC2,YLR095C,nucleus,33.95,7.63042,nucleus,62.3209,nucleus,23.8856,nucleus,32.9477
1169,IOC3,YFR013W,nucleus,27.41,6.6718399999999995,nucleus,66.7833,nucleus,0.0,nucleus,33.7327
373,IOC4,YMR044W,nucleus,28.63,6.05452,nucleus,60.6526,nucleus,23.9384,nucleus,36.1773
2257,IPA1,YJR141W,,,,"cytosol,punctate",79.0227,cytosol,97.8168,nucleus,20.2615
798,IPI1,YHR085W,nucleus,45.38,11.0497,nucleus,91.5352,nucleus,97.8832,nucleus,47.5595
738,IPI3,YNL182C,nucleus,52.61,11.7764,nucleus,118.699,nucleus,100.335,nucleus,50.1197
1407,IPK1,YDR315C,below threshold,16.48,4.36682,cytosol,55.2582,cytosol,61.1679,below threshold,21.2426
1088,IPL1,YPL209C,punctate,19.96,5.28631,"punctate,nucleus",38.1161,"cell periphery,vacuole",,punctate,22.9671
689,IPP1,YBR011C,cytosol,381.03,144.668,cytosol,517.11,cytosol,770.0880000000001,missing,0.0
98,IPT1,YDR072C,cytosol,21.12,5.112830000000001,punctate,34.8646,vacuole,58.6685,punctate,30.9119
86,IQG1,YPL242C,bud neck,,4.553380000000001,bud neck,32.9444,bud neck,8.69777,bud neck,19.0992
1463,IRA1,YBR140C,cytosol,21.38,6.22847,"cytosol,punctate",60.1352,cytosol,36.6522,cytosol,25.5836
275,IRA2,YOL081W,cytosol,25.37,5.32196,cytosol,42.9582,"cytosol,punctate",18.2783,below threshold,21.836
50,IRC10,YOL015W,below threshold,17.3,3.35189,mitochondria,34.1446,mitochondria,13.569,below threshold,20.0947
1094,IRC11,YOR013W,below threshold,15.75,2.99543,,,,,,
1095,IRC13,YOR235W,below threshold,15.51,3.36838,,,,,,
1096,IRC14,YOR135C,below threshold,15.33,3.90101,,,,,,
968,IRC15,YPL017C,below threshold,16.49,3.471,cytosol,46.768,cytosol,45.3916,below threshold,20.1678
1098,IRC16,YPR038W,below threshold,16.1,3.8928800000000003,,,,,,
841,IRC18,YJL037W,below threshold,16.22,4.19426,"ER,punctate,vacuole",166.81400000000002,vacuole,97.06700000000001,"ER,punctate",83.6785
494,IRC19,YLL033W,,,,punctate,18.9317,punctate,6.73279,below threshold,19.6373
1100,IRC2,YDR112W,below threshold,13.95,3.7787300000000004,,,,,,
734,IRC20,YLR247C,nucleus,17.66,3.79105,nucleus,38.3479,nucleus,21.5632,nucleus,21.5557
1884,IRC21,YMR073C,cytosol,21.81,4.69952,cytosol,78.5971,"cell periphery,vacuole",0.0,cytosol,37.5798
816,IRC22,YEL001C,ER,63.19,20.0571,ER,287.557,ER,156.809,ER,113.05799999999999
468,IRC23,YOR044W,below threshold,15.67,3.47105,punctate,19.6883,below threshold,6.08094,below threshold,18.9279
1420,IRC24,YIR036C,cytosol,29.1,9.52271,cytosol,0.0,cytosol,248.18900000000002,cytosol,43.2512
1171,IRC25,YLR021W,below threshold,14.81,3.95119,cytosol,176.623,cytosol,154.519,missing,0.0
158,IRC3,YDR332W,,,,mitochondria,67.8166,"punctate,mitochondria",29.4922,"cytosol,punctate",20.4219
751,IRC4,YDR540C,below threshold,18.57,4.82181,nucleus,85.5274,nucleus,71.4237,below threshold,21.0009
29,IRC5,YFR038W,below threshold,18.46,4.5578,nucleus,69.0831,below threshold,0.0,nucleus,20.7558
378,IRC6,YFR043C,below threshold,16.26,3.6103699999999996,cytosol,92.8518,cytosol,133.267,cytosol,26.7484
20,IRC7,YFR055W,below threshold,17.04,4.16796,ambiguous,20.2817,below threshold,4.64685,below threshold,20.6028
83,IRC8,YJL051W,cytosol,18.76,5.50546,"cell periphery,vacuole",29.3672,missing,0.0,below threshold,16.9497
721,IRE1,YHR079C,below threshold,14.35,4.4619599999999995,ER,55.8015,ER,30.9263,below threshold,21.4465
663,IRR1,YIL026C,nucleus,31.27,9.17948,nucleus,101.139,nucleus,85.2327,"punctate,nucleus",30.0338
2236,IRS4,YKR019C,below threshold,18.32,3.9912900000000002,cytosol,36.8751,cytosol,45.3567,below threshold,18.813
259,ISA1,YLL027W,mitochondria,56.46,13.001,mitochondria,67.6038,mitochondria,,missing,0.0
333,ISA2,YPR067W,mitochondria,32.07,6.36267,mitochondria,94.0327,mitochondria,,mitochondria,22.3184
46,ISC1,YER019W,,,,"cell periphery,ER",64.3726,"cell periphery,ER",114.62200000000001,below threshold,16.8098
1258,ISC10,YER180C,below threshold,17.01,4.7381,"cytosol,punctate",83.448,punctate,38.4928,below threshold,19.9213
1114,ISD11,YER048W-A,mitochondria,93.51,30.7958,,,,,,
478,ISF1,YMR081C,cytosol,21.71,6.003430000000001,cytosol,36.3061,cytosol,28.0278,below threshold,20.2182
378,ISM1,YPL040C,below threshold,15.97,3.6056,mitochondria,34.2543,missing,,missing,
585,ISN1,YOR155C,below threshold,17.17,4.63275,punctate,143.668,punctate,262.51599999999996,"cytosol,punctate",36.5966
1516,ISR1,YPR106W,below threshold,17.47,4.41364,"cytosol,nucleus",37.4733,below threshold,8.57415,below threshold,20.0687
1277,IST1,YNL265C,punctate,40.88,10.2337,cytosol,22.4873,punctate,35.2925,below threshold,23.5025
91,IST2,YBR086C,cell periphery,46.84,17.8788,"cell periphery,punctate",88.065,cell periphery,125.39,"cell periphery,punctate",64.8035
1369,IST3,YIR005W,below threshold,19.03,3.47555,"cytosol,nucleus",87.4332,nucleus,79.0592,nucleus,23.7035
321,ISU1,YPL135W,mitochondria,341.95,108.01,mitochondria,70.3948,mitochondria,52.3673,mitochondria,119.165
329,ISU2,YOR226C,,,,mitochondria,81.8792,mitochondria,66.3194,mitochondria,22.6764
299,ISW1,YBR245C,below threshold,17.88,3.6266800000000003,nucleus,55.5434,nucleus,20.6012,below threshold,17.0608
