max_5_ind_1,max_5_ind_2,max_5_ind_3,max_5_ind_4,max_5_ind_5
5100,306,1070,4539,4297
2290,5319,2130,3931,313
4051,1098,5074,3996,2036
1098,5074,4467,2408,3887
3212,5616,128,172,360
4187,3176,473,4013,4671
6345,5033,146,1161,5175
5361,4270,4051,1180,3996
317,4065,3419,1434,2628
316,3424,6070,-2,-2
3849,1729,4201,4984,721
1548,2355,1746,3227,337
2194,2924,5381,5814,4567
597,2102,4865,5222,4472
218,193,3995,2114,873
2142,518,368,5160,6656
134,169,408,119,212
2495,3303,448,1619,244
4038,1845,434,5761,5117
1837,4634,1935,1035,399
562,3698,3875,5868,4003
330,-2,-2,-2,-2
329,4792,2529,3779,5830
3907,4733,2544,733,2964
5088,4457,5582,3319,6247
1499,3501,5090,1744,6118
175,4108,3873,4968,1205
1461,591,2162,5708,1219
4051,3885,1868,1798,970
2851,6206,1868,2410,138
846,298,446,6560,1804
5989,1051,4141,539,135
4281,4740,1777,6621,6622
3617,3542,1670,153,3137
1863,3802,5825,221,4678
3563,344,5651,5965,5416
724,5385,87,3563,5651
4675,2306,6510,6240,6491
344,343,2166,-2,-2
4065,1909,345,-2,-2
2564,1648,3632,3311,997
5884,6378,3003,532,815
116,3003,5884,1552,4735
355,533,2097,1639,5911
847,6300,3104,6343,5212
4065,3055,5423,3954,3094
925,6280,4346,5476,2049
1455,4958,4340,1762,4220
355,5450,1962,641,1173
5117,5761,4038,6265,6405
1724,3087,1207,4269,3345
-2,-2,-2,-2,-2
692,2292,3929,3135,1196
2402,6093,5970,5013,1780
3029,4894,2327,3117,1307
4148,1232,3377,5482,696
1306,4501,6174,6504,1376
663,1017,1457,2764,5925
1998,2097,4558,2601,5567
-2,-2,-2,-2,-2
2161,323,2142,5160,6656
5615,3857,1841,2699,194
1200,6204,6005,2162,4994
741,5290,5142,5561,3703
5789,6344,3465,5019,2565
3547,1668,1915,2643,1925
2251,2120,5521,1285,597
376,4933,6388,1003,2413
2413,4471,375,2641,3381
2,3749,4873,6205,6539
1286,3079,2853,860,2445
6379,6692,1244,840,2556
205,3099,6089,1055,2345
380,-2,-2,-2,-2
2604,5115,3906,657,1474
2417,1424,0,5849,6163
4718,4545,4065,3392,5849
2781,3867,2842,1232,1107
1110,4709,1031,3700,4038
388,118,3709,1702,6593
387,4065,913,-2,-2
1655,4574,4808,6399,2384
6280,4346,354,4314,2277
1255,1831,2043,2622,3011
3802,31,3862,1567,2026
394,3336,4208,4080,1723
2221,4598,5844,848,2311
2705,2100,1743,2173,4644
3772,3452,6578,5142,424
398,2249,3448,396,3477
424,931,6578,1389,6187
550,1570,6315,643,1268
5737,5671,5908,1396,4038
2982,561,2895,400,60
5023,4365,620,6160,386
5839,386,5215,4424,3262
405,547,3625,537,4146
404,-2,-2,-2,-2
5174,6200,1567,5954,5434
1128,2124,2220,5593,4455
282,1023,169,324,134
4838,5642,5081,2356,4933
5891,1218,6636,2226,6169
1066,732,2154,5393,3494
5648,295,1269,2429,656
4693,303,4861,2872,2372
4066,1076,5934,2343,3291
1141,2072,5745,5244,6363
6059,871,2446,1545,3849
156,5620,5703,1558,532
3558,6569,2369,2916,3817
3527,6405,4319,4954,3848
6373,3583,2979,424,2515
3425,5210,3698,3875,3200
2122,5179,1867,2915,1389
784,693,3357,4492,3461
6579,6578,398,3459,4313
286,5025,5606,6214,1432
2605,4985,5084,2276,2665
165,1823,6701,873,3290
4216,5243,6615,4686,3307
1212,6553,186,1865,1650
1090,1032,1389,3216,1152
1742,715,5442,6518,2592
2396,4230,533,140,36
2923,1550,132,836,6485
1845,5117,4038,5761,326
2418,472,900,4051,3045
6002,4404,6252,4498,1823
3742,4200,3132,5645,1798
2510,2083,5898,1728,2638
440,-2,-2,-2,-2
3681,2887,4097,6299,1541
3171,2822,3511,3646,2988
2180,3762,5865,443,6070
442,2890,-2,-2,-2
4010,3083,5959,1542,4488
1471,3293,2608,4347,5601
298,846,6560,1804,4879
4197,6247,4937,2495,3303
2495,3303,325,1619,244
3670,2688,4367,5915,1353
3905,5691,4065,6281,5319
5579,4845,1734,1905,1282
3286,2712,1837,3093,4984
2264,4982,2601,2097,6233
2504,3545,4201,4984,4048
846,298,446,6560,1804
6137,457,750,5647,1134
904,2244,4111,846,298
4236,6596,3841,15,4266
4018,5954,4323,4325,2268
2224,5695,2817,1740,1364
365,466,3322,480,1814
6475,4713,3375,4675,5456
45,2624,666,1086,5364
4065,493,5123,2704,5139
1972,656,-2,-2,-2
6572,4885,6616,3768,531
1186,2208,4706,1461,702
4122,466,6433,5159,1212
4335,48,2693,5424,1856
1261,3498,453,4771,4065
4065,4664,-2,-2,-2
2418,4310,435,4614,900
6595,4187,3176,87,313
1289,1362,6359,2433,975
3991,5094,5820,3762,3148
2958,477,1554,5837,6577
476,-2,-2,-2,-2
2000,4812,4323,4116,1699
6270,3245,2705,209,917
466,474,461,481,6520
3165,4223,5,2670,4672
1376,2562,6174,6398,3216
5169,938,751,4648,2561
3970,2058,6637,3662,3634
2045,1214,386,1635,5023
129,3637,5774,3375,5329
3251,4605,5943,3735,4629
2945,4923,6310,5476,925
45,4000,3693,5686,849
3290,623,217,1590,4618
3290,623,6252,217,1736
1974,5186,2576,1934,6173
464,5123,2704,5139,6303
3188,2304,2120,1732,5707
141,5555,4918,1455,3786
495,-2,-2,-2,-2
495,-2,-2,-2,-2
499,2330,2296,4424,3358
498,-2,-2,-2,-2
144,957,3705,5944,53
4958,1455,4220,4340,6178
1272,66,2121,5824,3627
3161,5169,3181,1221,2419
2215,530,2326,3098,185
1556,2366,1236,4643,6400
-2,-2,-2,-2,-2
3938,1379,3985,1048,2156
3938,1379,3985,1048,2156
800,3675,3560,4490,5506
3886,1038,5498,2694,6458
2227,6393,4610,881,6340
813,4984,5064,5412,3469
809,6347,1932,5378,6165
4000,3349,4387,5056,3153
851,1118,2017,5460,2016
2208,2201,5431,5323,1031
3352,3891,2323,6492,4065
323,2142,6392,6656,4761
6249,5352,5602,4742,4412
2041,4796,4178,2230,1162
4228,4275,3125,3868,200
6435,3327,5066,5000,6381
610,3032,5950,3886,3140
1168,6518,1071,2245,2767
5122,6075,4512,5051,1331
1218,2226,6169,410,3664
5813,4622,3552,2917,5219
1740,2475,4869,2817,5695
4989,1477,3969,5854,1544
5487,4631,170,3098,504
3768,542,535,4885,6616
5703,1558,156,1287,417
4230,36,3221,5344,2821
1541,440,4097,86,3681
542,531,533,534,529
3142,5205,6635,3956,4335
4395,1245,3958,1537,404
638,3916,5217,2619,2038
2588,1051,1677,1987,339
1880,4598,4369,1997,2309
1098,5074,2688,3670,1353
535,531,1255,533,534
1140,2944,6251,4091,6472
1474,5507,3664,558,3321
503,1753,979,744,4582
5632,1834,4822,5116,3315
3625,3082,404,3133,5132
3818,5856,776,3017,1463
900,4821,1481,1391,183
399,1837,4187,4788,1268
5339,4580,1000,1119,4092
1841,3857,194,2258,6147
554,3583,1162,2969,595
5385,6648,1162,875,3500
5862,4543,2344,5705,4675
4180,1389,1362,907,5693
5314,4412,2077,4988,1799
1474,4566,3321,1533,5115
1123,1736,1823,5687,6002
1780,5261,1478,3328,5568
5537,60,401,3160,3368
1694,3832,328,5932,5075
559,3884,6400,6159,4218
6359,2646,3279,6428,3499
3441,5492,6038,6172,2715
6338,1868,5682,6004,3699
6019,2371,559,3693,2576
3379,197,191,6146,4869
618,1159,6136,3428,1861
4175,3505,6637,2500,3662
5382,2104,1836,5591,2638
4735,696,5482,3464,2617
1152,3286,3685,4065,2108
577,575,2678,2673,2675
577,2678,2674,574,2673
578,6033,6034,763,1016
3190,2675,575,2678,574
579,745,576,324,2262
5548,1680,3899,81,3204
4744,2019,5462,2742,1030
3986,5495,3627,165,1128
622,683,753,650,3986
3986,1128,649,669,630
4065,6077,3531,-2,-2
918,1745,279,2868,6572
6018,2776,2384,6086,6399
6018,2776,2384,6086,6399
587,3505,4145,2823,1487
4542,4203,6223,5475,3597
4865,4472,1821,3511,597
1186,2208,6204,1461,2162
5259,2941,855,1450,1179
2745,2744,1761,3833,5906
3586,3165,697,4335,6581
4833,3563,2969,5416,6595
894,2879,1772,6296,6419
2102,4865,1649,5950,4472
1317,1316,5006,5142,4270
89,6477,5006,3304,2638
3761,629,3760,2251,4065
603,288,-2,-2,-2
603,1821,645,4472,3654
656,4429,3571,3452,2875
3420,2057,1579,3995,1534
4068,256,4072,762,4462
3328,762,3738,4843,3410
5515,4579,5004,636,5403
1215,5117,5352,4038,6172
4128,1733,6438,6317,6017
523,3140,5950,1780,3032
3327,6606,3769,1519,522
4480,1860,6534,4335,4197
1763,3737,2593,4126,4211
5832,2764,128,429,5925
2593,4126,4072,6249,6216
5782,729,6447,4849,5524
1919,2216,1502,2543,6061
5218,3820,569,726,6310
1307,2327,3117,3029,4894
2087,1588,4861,463,4573
622,623,4718,-2,-2
582,683,620,621,623
4742,3290,66,3741,4498
4872,6481,2432,1734,1905
3882,4024,2331,3582,3041
5791,4338,5223,625,5874
5247,2840,2080,2374,5896
